core	gpu	HostToDevice	DeviceToHost
0	0	0.000551	0.001060
0	1	0.000454	0.000738
0	2	0.000479	0.000729
0	3	0.000479	0.000734
1	0	0.000448	0.000745
1	1	0.000449	0.000737
1	2	0.000471	0.000727
1	3	0.000473	0.000733
2	0	0.000447	0.000747
2	1	0.000446	0.000739
2	2	0.000471	0.000728
2	3	0.000471	0.000735
3	0	0.000447	0.000745
3	1	0.000447	0.000738
3	2	0.000471	0.000727
3	3	0.000470	0.000734
4	0	0.000456	0.000746
4	1	0.000448	0.000738
4	2	0.000473	0.000727
4	3	0.000471	0.000735
5	0	0.000448	0.000745
5	1	0.000446	0.000738
5	2	0.000471	0.000727
5	3	0.000471	0.000734
6	0	0.000450	0.000745
6	1	0.000443	0.000741
6	2	0.000471	0.000729
6	3	0.000470	0.000735
7	0	0.000448	0.000745
7	1	0.000445	0.000739
7	2	0.000472	0.000728
7	3	0.000469	0.000735
8	0	0.000450	0.000744
8	1	0.000446	0.000736
8	2	0.000468	0.000727
8	3	0.000471	0.000733
9	0	0.000446	0.000742
9	1	0.000444	0.000737
9	2	0.000469	0.000726
9	3	0.000468	0.000733
10	0	0.000451	0.000745
10	1	0.000444	0.000739
10	2	0.000472	0.000729
10	3	0.000470	0.000734
11	0	0.000447	0.000745
11	1	0.000442	0.000738
11	2	0.000467	0.000727
11	3	0.000469	0.000735
12	0	0.000457	0.000746
12	1	0.000443	0.000738
12	2	0.000472	0.000727
12	3	0.000471	0.000735
13	0	0.000448	0.000744
13	1	0.000440	0.000738
13	2	0.000470	0.000726
13	3	0.000470	0.000733
14	0	0.000448	0.000745
14	1	0.000442	0.000739
14	2	0.000466	0.000729
14	3	0.000469	0.000735
15	0	0.000443	0.000745
15	1	0.000447	0.000737
15	2	0.000467	0.000727
15	3	0.000473	0.000734
16	0	0.000446	0.000747
16	1	0.000445	0.000741
16	2	0.000466	0.000732
16	3	0.000469	0.000738
17	0	0.000448	0.000747
17	1	0.000442	0.000741
17	2	0.000465	0.000733
17	3	0.000468	0.000737
18	0	0.000448	0.000750
18	1	0.000445	0.000744
18	2	0.000471	0.000735
18	3	0.000472	0.000740
19	0	0.000447	0.000749
19	1	0.000447	0.000745
19	2	0.000468	0.000735
19	3	0.000471	0.000741
20	0	0.000452	0.000747
20	1	0.000448	0.000742
20	2	0.000468	0.000732
20	3	0.000471	0.000738
21	0	0.000446	0.000749
21	1	0.000448	0.000743
21	2	0.000469	0.000734
21	3	0.000472	0.000738
22	0	0.000448	0.000750
22	1	0.000441	0.000743
22	2	0.000470	0.000736
22	3	0.000474	0.000742
23	0	0.000444	0.000751
23	1	0.000446	0.000746
23	2	0.000468	0.000735
23	3	0.000470	0.000739
24	0	0.000450	0.000748
24	1	0.000449	0.000745
24	2	0.000469	0.000737
24	3	0.000471	0.000742
25	0	0.000453	0.000751
25	1	0.000444	0.000747
25	2	0.000472	0.000737
25	3	0.000474	0.000744
26	0	0.000447	0.000754
26	1	0.000448	0.000748
26	2	0.000473	0.000739
26	3	0.000474	0.000742
27	0	0.000449	0.000752
27	1	0.000447	0.000747
27	2	0.000471	0.000736
27	3	0.000474	0.000743
28	0	0.000452	0.000751
28	1	0.000448	0.000746
28	2	0.000473	0.000736
28	3	0.000472	0.000741
29	0	0.000447	0.000749
29	1	0.000448	0.000745
29	2	0.000467	0.000735
29	3	0.000470	0.000739
30	0	0.000452	0.000753
30	1	0.000450	0.000746
30	2	0.000469	0.000739
30	3	0.000471	0.000743
31	0	0.000452	0.000751
31	1	0.000445	0.000745
31	2	0.000469	0.000736
31	3	0.000472	0.000742
32	0	0.000456	0.000768
32	1	0.000448	0.000760
32	2	0.000471	0.000743
32	3	0.000473	0.000748
33	0	0.000453	0.000771
33	1	0.000452	0.000764
33	2	0.000474	0.000745
33	3	0.000473	0.000750
34	0	0.000451	0.000769
34	1	0.000447	0.000764
34	2	0.000470	0.000746
34	3	0.000474	0.000749
35	0	0.000453	0.000770
35	1	0.000448	0.000764
35	2	0.000473	0.000746
35	3	0.000476	0.000750
36	0	0.000451	0.000770
