core	gpu	HostToDevice	DeviceToHost
0	0	0.001600	0.001661
0	1	0.001551	0.001795
0	2	0.005113	0.005037
0	3	0.005115	0.005037
1	0	0.001520	0.001789
1	1	0.001516	0.001795
1	2	0.005107	0.005036
1	3	0.005113	0.005036
2	0	0.001506	0.001780
2	1	0.001503	0.001779
2	2	0.005105	0.005034
2	3	0.005108	0.005034
3	0	0.001508	0.001784
3	1	0.001504	0.001787
3	2	0.005106	0.005035
3	3	0.005109	0.005035
4	0	0.001515	0.001796
4	1	0.001511	0.001799
4	2	0.005107	0.005035
4	3	0.005109	0.005037
5	0	0.001515	0.001808
5	1	0.001517	0.001801
5	2	0.005107	0.005036
5	3	0.005110	0.005036
6	0	0.001522	0.001809
6	1	0.001525	0.001810
6	2	0.005108	0.005036
6	3	0.005112	0.005037
7	0	0.001527	0.001808
7	1	0.001527	0.001809
7	2	0.005108	0.005036
7	3	0.005111	0.005038
8	0	0.001528	0.001810
8	1	0.001525	0.001811
8	2	0.005109	0.005036
8	3	0.005113	0.005038
9	0	0.001503	0.001776
9	1	0.001504	0.001781
9	2	0.005106	0.005033
9	3	0.005108	0.005035
10	0	0.001507	0.001786
10	1	0.001507	0.001787
10	2	0.005106	0.005034
10	3	0.005108	0.005036
11	0	0.001512	0.001787
11	1	0.001505	0.001790
11	2	0.005107	0.005034
11	3	0.005109	0.005035
12	0	0.001523	0.001812
12	1	0.001525	0.001814
12	2	0.005108	0.005037
12	3	0.005112	0.005037
13	0	0.001522	0.001806
13	1	0.001522	0.001809
13	2	0.005108	0.005035
13	3	0.005110	0.005036
