core	gpu	HostToDevice	DeviceToHost
0	0	0.000452	0.000925
0	1	0.000455	0.000873
0	2	0.000463	0.000898
0	3	0.000708	0.000904
1	0	0.000395	0.000873
1	1	0.000394	0.000871
1	2	0.000399	0.000899
1	3	0.000679	0.000904
2	0	0.000394	0.000879
2	1	0.000394	0.000876
2	2	0.000399	0.000906
2	3	0.000679	0.000909
3	0	0.000394	0.000880
3	1	0.000394	0.000878
3	2	0.000399	0.000905
3	3	0.000679	0.000910
4	0	0.000394	0.000885
4	1	0.000394	0.000884
4	2	0.000398	0.000909
4	3	0.000679	0.000915
5	0	0.000394	0.000885
5	1	0.000394	0.000883
5	2	0.000398	0.000911
5	3	0.000679	0.000914
6	0	0.000394	0.000890
6	1	0.000393	0.000888
6	2	0.000399	0.000915
6	3	0.000679	0.000921
7	0	0.000394	0.000892
7	1	0.000394	0.000887
7	2	0.000398	0.000915
7	3	0.000680	0.000922
8	0	0.000395	0.000874
8	1	0.000394	0.000871
8	2	0.000398	0.000898
8	3	0.000679	0.000903
9	0	0.000394	0.000873
9	1	0.000394	0.000872
9	2	0.000399	0.000899
9	3	0.000679	0.000904
10	0	0.000394	0.000879
10	1	0.000394	0.000877
10	2	0.000398	0.000904
10	3	0.000678	0.000908
11	0	0.000394	0.000880
11	1	0.000394	0.000878
11	2	0.000398	0.000905
11	3	0.000679	0.000910
12	0	0.000394	0.000885
12	1	0.000394	0.000881
12	2	0.000398	0.000910
12	3	0.000679	0.000915
13	0	0.000394	0.000884
13	1	0.000393	0.000882
13	2	0.000398	0.000911
13	3	0.000679	0.000915
14	0	0.000394	0.000890
14	1	0.000393	0.000887
14	2	0.000398	0.000916
14	3	0.000679	0.000920
15	0	0.000395	0.000890
15	1	0.000393	0.000887
15	2	0.000399	0.000915
15	3	0.000679	0.000922
16	0	0.000396	0.000869
16	1	0.000393	0.000865
16	2	0.000399	0.000893
16	3	0.000679	0.000900
17	0	0.000393	0.000869
17	1	0.000394	0.000867
17	2	0.000399	0.000895
17	3	0.000679	0.000903
18	0	0.000393	0.000875
18	1	0.000393	0.000872
18	2	0.000399	0.000901
18	3	0.000679	0.000905
19	0	0.000394	0.000875
19	1	0.000393	0.000873
19	2	0.000400	0.000901
19	3	0.000679	0.000909
20	0	0.000394	0.000880
20	1	0.000393	0.000878
20	2	0.000399	0.000906
20	3	0.000679	0.000911
21	0	0.000393	0.000880
21	1	0.000393	0.000880
21	2	0.000398	0.000906
21	3	0.000679	0.000910
22	0	0.000393	0.000884
22	1	0.000393	0.000883
22	2	0.000399	0.000912
22	3	0.000679	0.000917
23	0	0.000393	0.000884
23	1	0.000393	0.000883
23	2	0.000398	0.000913
23	3	0.000679	0.000918
24	0	0.000395	0.000873
24	1	0.000393	0.000870
24	2	0.000399	0.000898
24	3	0.000679	0.000904
25	0	0.000394	0.000873
25	1	0.000393	0.000871
25	2	0.000399	0.000899
25	3	0.000679	0.000905
26	0	0.000393	0.000877
26	1	0.000393	0.000875
26	2	0.000399	0.000904
26	3	0.000679	0.000909
27	0	0.000393	0.000880
27	1	0.000393	0.000876
27	2	0.000399	0.000906
27	3	0.000679	0.000909
28	0	0.000394	0.000883
28	1	0.000393	0.000881
28	2	0.000399	0.000909
28	3	0.000678	0.000914
29	0	0.000399	0.000884
29	1	0.000393	0.000881
29	2	0.000399	0.000910
29	3	0.000679	0.000914
30	0	0.000393	0.000889
30	1	0.000393	0.000886
30	2	0.000398	0.000914
30	3	0.000678	0.000921
31	0	0.000393	0.000888
31	1	0.000393	0.000887
31	2	0.000399	0.000916
31	3	0.000679	0.000921
32	0	0.000394	0.000938
32	1	0.000394	0.000935
32	2	0.000399	0.000968
32	3	0.000679	0.000971
33	0	0.000394	0.000940
33	1	0.000394	0.000935
33	2	0.000399	0.000968
33	3	0.000679	0.000973
34	0	0.000394	0.000944
34	1	0.000394	0.000939
34	2	0.000399	0.000973
34	3	0.000679	0.000979
35	0	0.000393	0.000945
35	1	0.000394	0.000939
35	2	0.000400	0.000976
35	3	0.000679	0.000984
36	0	0.000402	0.000948
36	1	0.000393	0.000944
36	2	0.000400	0.000978
36	3	0.000679	0.000984
37	0	0.000403	0.000951
37	1	0.000399	0.000945
37	2	0.000404	0.000979
37	3	0.000680	0.000984
38	0	0.000401	0.000956
38	1	0.000401	0.000950
38	2	0.000406	0.000984
38	3	0.000679	0.000989
39	0	0.000399	0.000960
39	1	0.000405	0.000951
39	2	0.000405	0.000985
39	3	0.000680	0.000992
40	0	0.000395	0.000943
40	1	0.000395	0.000937
40	2	0.000400	0.000972
40	3	0.000679	0.000976
41	0	0.000394	0.000943
41	1	0.000394	0.000937
41	2	0.000399	0.000973
41	3	0.000679	0.000976
42	0	0.000393	0.000947
42	1	0.000394	0.000944
42	2	0.000399	0.000976
42	3	0.000679	0.000983
43	0	0.000394	0.000948
43	1	0.000394	0.000945
43	2	0.000400	0.000979
43	3	0.000679	0.000983
44	0	0.000401	0.000952
44	1	0.000393	0.000949
44	2	0.000399	0.000982
44	3	0.000679	0.000988
45	0	0.000403	0.000953
45	1	0.000394	0.000950
45	2	0.000399	0.000983
45	3	0.000680	0.000988
46	0	0.000402	0.000957
46	1	0.000393	0.000952
46	2	0.000399	0.000988
46	3	0.000680	0.000993
47	0	0.000393	0.000959
47	1	0.000394	0.000953
47	2	0.000399	0.000987
47	3	0.000679	0.000996
48	0	0.000394	0.000945
48	1	0.000394	0.000938
48	2	0.000399	0.000971
48	3	0.000679	0.000975
49	0	0.000394	0.000944
49	1	0.000394	0.000936
49	2	0.000400	0.000973
49	3	0.000679	0.000975
50	0	0.000394	0.000949
50	1	0.000393	0.000943
50	2	0.000399	0.000977
50	3	0.000679	0.000981
51	0	0.000394	0.000949
51	1	0.000394	0.000944
51	2	0.000399	0.000977
51	3	0.000679	0.000982
52	0	0.000402	0.000954
52	1	0.000402	0.000948
