core	gpu	HostToDevice	DeviceToHost
0	0	25.831484	22.996974
0	1	25.939310	25.177743
0	2	25.801302	23.613884
0	3	25.713756	23.001172
1	0	25.860146	26.329670
1	1	25.835183	26.329625
1	2	25.765895	23.616390
1	3	25.710650	23.884520
2	0	25.856003	26.328533
2	1	25.860531	26.329421
2	2	25.790451	23.615425
2	3	25.755913	23.884980
3	0	25.891813	26.329376
3	1	25.891419	26.330158
3	2	25.775126	23.615790
3	3	25.720029	23.884761
4	0	25.853034	26.329669
4	1	25.877337	26.330193
4	2	25.732576	23.616332
4	3	25.699038	23.883812
5	0	25.821820	26.329998
5	1	25.832193	26.330646
5	2	25.791591	23.613584
5	3	25.737162	23.885214
6	0	25.819695	26.330220
6	1	25.837046	26.330539
6	2	25.784177	23.614512
6	3	25.742038	23.883111
7	0	25.887884	26.330086
7	1	25.824227	26.331640
7	2	25.781080	23.615190
7	3	25.730177	23.884776
8	0	25.840421	26.330033
8	1	25.861353	26.330370
8	2	25.720207	23.616953
8	3	25.692658	23.884659
9	0	25.791625	26.330841
9	1	25.796165	26.330352
9	2	25.772354	23.617896
9	3	25.733965	23.884907
10	0	25.864161	26.330441
10	1	25.842182	26.327043
10	2	25.739409	23.614712
10	3	25.741648	23.884826
11	0	25.835038	26.330920
11	1	25.813305	26.330601
11	2	25.786943	23.609880
11	3	25.665901	23.884527
12	0	25.869479	26.329403
12	1	25.880080	26.330157
12	2	25.747196	23.617260
12	3	25.685106	23.885002
13	0	25.826079	26.330628
13	1	25.834338	26.331755
13	2	25.791651	23.616718
13	3	25.658668	23.884009
14	0	25.857047	26.327025
14	1	25.825746	26.330353
14	2	25.767169	23.616154
14	3	25.727466	23.885623
15	0	25.789701	26.330477
15	1	25.835610	26.329554
15	2	25.749453	23.612635
15	3	25.692083	23.884359
16	0	25.848681	26.329093
16	1	25.879480	26.331009
16	2	24.971417	23.835849
16	3	24.404148	23.834628
17	0	25.842242	26.330690
17	1	25.846585	26.331249
17	2	24.972039	23.822876
17	3	24.386102	23.829285
18	0	25.849621	26.330592
18	1	25.844396	26.330619
18	2	25.010084	23.783727
18	3	24.400429	23.828289
