core	gpu	HostToDevice	DeviceToHost
0	0	0.003871	0.004348
0	1	0.003855	0.003972
0	2	0.003876	0.004235
0	3	0.003889	0.004348
1	0	0.003867	0.003798
1	1	0.003871	0.003798
1	2	0.003881	0.004234
1	3	0.003889	0.004187
2	0	0.003868	0.003798
2	1	0.003867	0.003798
2	2	0.003877	0.004235
2	3	0.003883	0.004187
3	0	0.003862	0.003798
3	1	0.003862	0.003798
3	2	0.003880	0.004234
3	3	0.003888	0.004187
4	0	0.003868	0.003798
4	1	0.003864	0.003798
4	2	0.003886	0.004234
4	3	0.003891	0.004187
5	0	0.003873	0.003798
5	1	0.003871	0.003798
5	2	0.003877	0.004235
5	3	0.003885	0.004187
6	0	0.003873	0.003798
6	1	0.003870	0.003798
6	2	0.003878	0.004235
6	3	0.003885	0.004187
7	0	0.003863	0.003798
7	1	0.003872	0.003798
7	2	0.003879	0.004235
7	3	0.003886	0.004187
8	0	0.003870	0.003798
8	1	0.003867	0.003798
8	2	0.003888	0.004234
8	3	0.003892	0.004187
9	0	0.003877	0.003798
9	1	0.003877	0.003798
9	2	0.003880	0.004234
9	3	0.003886	0.004187
10	0	0.003866	0.003798
10	1	0.003870	0.003798
10	2	0.003885	0.004235
10	3	0.003885	0.004187
11	0	0.003871	0.003798
11	1	0.003874	0.003798
11	2	0.003878	0.004236
11	3	0.003896	0.004187
12	0	0.003866	0.003798
12	1	0.003864	0.003798
12	2	0.003884	0.004234
12	3	0.003893	0.004187
13	0	0.003872	0.003798
13	1	0.003871	0.003798
13	2	0.003877	0.004234
13	3	0.003897	0.004187
14	0	0.003867	0.003798
14	1	0.003872	0.003798
14	2	0.003881	0.004234
14	3	0.003887	0.004187
15	0	0.003878	0.003798
15	1	0.003871	0.003798
15	2	0.003884	0.004235
15	3	0.003892	0.004187
16	0	0.003869	0.003798
16	1	0.003864	0.003798
16	2	0.004005	0.004195
16	3	0.004098	0.004196
17	0	0.003870	0.003798
17	1	0.003869	0.003798
17	2	0.004004	0.004198
17	3	0.004101	0.004197
18	0	0.003869	0.003798
18	1	0.003869	0.003798
18	2	0.003998	0.004205
18	3	0.004098	0.004197
19	0	0.003871	0.003798
19	1	0.003872	0.003798
19	2	0.004004	0.004200
19	3	0.004099	0.004197
20	0	0.003872	0.003798
20	1	0.003864	0.003798
20	2	0.004000	0.004195
20	3	0.004103	0.004197
21	0	0.003871	0.003798
21	1	0.003866	0.003798
21	2	0.004003	0.004196
21	3	0.004102	0.004197
22	0	0.003868	0.003798
22	1	0.003867	0.003798
22	2	0.004003	0.004196
22	3	0.004098	0.004197
23	0	0.003866	0.003798
23	1	0.003864	0.003798
23	2	0.004004	0.004195
23	3	0.004100	0.004200
24	0	0.003870	0.003798
24	1	0.003865	0.003798
24	2	0.003995	0.004196
24	3	0.004103	0.004197
25	0	0.003864	0.003798
25	1	0.003869	0.003798
25	2	0.003996	0.004196
25	3	0.004096	0.004197
26	0	0.004005	0.003798
26	1	0.003870	0.003799
26	2	0.003998	0.004197
26	3	0.004107	0.004198
27	0	0.003862	0.003798
27	1	0.003867	0.003798
27	2	0.003997	0.004198
27	3	0.004104	0.004197
28	0	0.003867	0.003798
28	1	0.003867	0.003798
28	2	0.004006	0.004199
28	3	0.004105	0.004197
29	0	0.003865	0.003798
29	1	0.003860	0.003798
29	2	0.004002	0.004195
29	3	0.004097	0.004197
30	0	0.003869	0.003798
30	1	0.003865	0.003798
30	2	0.004003	0.004196
30	3	0.004098	0.004199
31	0	0.003865	0.003798
31	1	0.003868	0.003798
31	2	0.003996	0.004196
31	3	0.004096	0.004197
32	0	0.003870	0.003801
32	1	0.003867	0.003801
32	2	0.003958	0.004214
