core	gpu	HostToDevice	DeviceToHost
0	0	0.009038	0.010216
0	1	0.009017	0.010208
0	2	0.009033	0.010236
0	3	0.009018	0.010212
1	0	0.009040	0.010477
1	1	0.009045	0.010237
1	2	0.008987	0.010263
1	3	0.009019	0.010289
2	0	0.009106	0.010287
2	1	0.009125	0.010301
2	2	0.009050	0.010313
2	3	0.009102	0.010271
3	0	0.009113	0.010302
3	1	0.009111	0.010289
3	2	0.009082	0.010312
3	3	0.009091	0.010286
4	0	0.009161	0.010364
4	1	0.009182	0.010370
4	2	0.009118	0.010368
4	3	0.009153	0.010341
5	0	0.009165	0.010353
5	1	0.009164	0.010357
5	2	0.009135	0.010368
5	3	0.009134	0.010344
6	0	0.009219	0.010436
6	1	0.009245	0.010428
6	2	0.009178	0.010440
6	3	0.009202	0.010401
7	0	0.009209	0.010445
7	1	0.009214	0.010431
7	2	0.009167	0.010432
7	3	0.009199	0.010418
8	0	0.009087	0.010268
8	1	0.009087	0.010252
8	2	0.009000	0.010269
8	3	0.009065	0.010235
9	0	0.009080	0.010285
9	1	0.009073	0.010252
9	2	0.009058	0.010274
9	3	0.009065	0.010248
10	0	0.009146	0.010352
10	1	0.009157	0.010330
10	2	0.009085	0.010346
10	3	0.009118	0.010313
11	0	0.009146	0.010337
11	1	0.009144	0.010330
11	2	0.009073	0.010343
11	3	0.009117	0.010323
12	0	0.009200	0.010397
12	1	0.009206	0.010396
12	2	0.009144	0.010406
12	3	0.009191	0.010385
13	0	0.009179	0.010403
13	1	0.009195	0.010416
13	2	0.009138	0.010413
13	3	0.009177	0.010392
14	0	0.009252	0.010471
14	1	0.009257	0.010471
14	2	0.009183	0.010482
14	3	0.009252	0.010456
15	0	0.009242	0.010499
15	1	0.009251	0.010476
15	2	0.009184	0.010482
15	3	0.009234	0.010448
16	0	0.009052	0.010215
16	1	0.009053	0.010178
16	2	0.008973	0.010231
16	3	0.009021	0.010212
17	0	0.009046	0.010228
17	1	0.009046	0.010195
17	2	0.008963	0.010249
17	3	0.009017	0.010217
18	0	0.009101	0.010304
18	1	0.009110	0.010267
18	2	0.009026	0.010308
18	3	0.009079	0.010269
19	0	0.009106	0.010282
19	1	0.009104	0.010273
19	2	0.009048	0.010316
19	3	0.009081	0.010299
20	0	0.009165	0.010343
20	1	0.009164	0.010335
20	2	0.009094	0.010360
20	3	0.009131	0.010347
21	0	0.009159	0.010355
21	1	0.009152	0.010340
21	2	0.009083	0.010369
21	3	0.009133	0.010342
22	0	0.009213	0.010416
22	1	0.009229	0.010426
22	2	0.009162	0.010438
22	3	0.009197	0.010409
23	0	0.009198	0.010431
23	1	0.009213	0.010416
23	2	0.009172	0.010428
23	3	0.009180	0.010413
24	0	0.009092	0.010245
24	1	0.009088	0.010239
24	2	0.009041	0.010283
24	3	0.009070	0.010256
25	0	0.009076	0.010266
25	1	0.009088	0.010226
25	2	0.008998	0.010285
25	3	0.009048	0.010265
26	0	0.009154	0.010333
26	1	0.009158	0.010308
26	2	0.009069	0.010349
26	3	0.009117	0.010324
27	0	0.009136	0.010325
27	1	0.009153	0.010329
27	2	0.009060	0.010359
27	3	0.009110	0.010332
28	0	0.009197	0.010379
28	1	0.009201	0.010375
28	2	0.009137	0.010406
28	3	0.009171	0.010382
29	0	0.009178	0.010414
29	1	0.009205	0.010392
29	2	0.009120	0.010412
29	3	0.009158	0.010391
30	0	0.009251	0.010473
30	1	0.009266	0.010461
30	2	0.009191	0.010489
30	3	0.009229	0.010466
31	0	0.009247	0.010483
31	1	0.009260	0.010459
31	2	0.009216	0.010483
31	3	0.009229	0.010468
32	0	0.008618	0.010879
32	1	0.008622	0.010883
32	2	0.008634	0.010895
32	3	0.008648	0.010894
33	0	0.008615	0.010909
33	1	0.008621	0.010881
33	2	0.008608	0.010902
33	3	0.008644	0.010897
34	0	0.008679	0.010965
34	1	0.008688	0.010934
34	2	0.008687	0.010933
34	3	0.008709	0.010946
35	0	0.008671	0.010981
35	1	0.008677	0.010936
35	2	0.008654	0.010950
35	3	0.008701	0.010945
36	0	0.008727	0.011045
36	1	0.008740	0.011025
36	2	0.008737	0.010973
36	3	0.008769	0.010984
37	0	0.008717	0.011057
37	1	0.008730	0.011033
37	2	0.008713	0.010978
37	3	0.008759	0.011003
38	0	0.008788	0.011109
38	1	0.008806	0.011117
38	2	0.008800	0.011071
38	3	0.008824	0.011085
39	0	0.008781	0.011115
39	1	0.008803	0.011107
39	2	0.008772	0.011057
39	3	0.008822	0.011091
40	0	0.008665	0.010927
40	1	0.008665	0.010926
40	2	0.008653	0.010936
40	3	0.008688	0.010922
41	0	0.008657	0.010962
41	1	0.008659	0.010923
41	2	0.008638	0.010937
41	3	0.008684	0.010932
42	0	0.008721	0.011033
42	1	0.008730	0.011013
42	2	0.008761	0.010968
42	3	0.008756	0.010968
43	0	0.008724	0.011045
