core	gpu	HostToDevice	DeviceToHost
0	0	18.280812	9.283754
0	1	18.195585	9.313700
0	2	17.921385	9.023075
0	3	18.310421	9.010515
1	0	20.779441	9.289128
1	1	20.875671	9.329287
1	2	14.843938	9.034533
1	3	20.736879	8.980520
2	0	20.813917	9.248483
2	1	20.871732	9.251311
2	2	20.622190	8.988192
2	3	20.723460	8.933609
3	0	20.784483	9.211795
3	1	20.851205	9.258082
3	2	20.667803	8.969742
3	3	20.708792	8.940813
4	0	20.334200	9.195734
4	1	20.437067	9.197898
4	2	20.265566	8.945734
4	3	20.367884	8.893743
5	0	20.635140	9.185769
5	1	20.714788	9.199141
5	2	20.514965	8.944709
5	3	20.545718	8.886547
6	0	20.365396	9.135116
6	1	20.505207	9.148953
6	2	20.364402	8.879330
6	3	20.437134	8.848658
7	0	20.492383	9.127295
7	1	20.589954	9.149121
7	2	20.018505	8.861446
7	3	20.207599	8.844289
8	0	20.763505	9.267463
8	1	20.787435	9.254183
8	2	20.615867	8.989717
8	3	20.648982	8.960705
9	0	20.802382	9.246208
9	1	20.766622	9.249923
9	2	20.588273	8.989129
9	3	20.698029	8.971995
10	0	20.793873	9.185585
10	1	20.767288	9.199304
10	2	20.627685	8.956653
10	3	20.715075	8.918041
11	0	20.812270	9.201212
11	1	20.767835	9.199331
11	2	20.611510	8.931857
11	3	20.713584	8.903273
12	0	20.368693	9.144215
12	1	20.475603	9.153426
12	2	20.371717	8.914076
12	3	20.459609	8.877143
13	0	20.542934	9.139448
13	1	20.538668	9.149847
13	2	20.411923	8.892481
13	3	20.553116	8.856517
14	0	20.384409	9.077850
14	1	20.490620	9.089759
14	2	20.170060	8.846954
14	3	20.346037	8.802491
15	0	20.479611	9.094497
15	1	20.504467	9.088580
15	2	20.446189	8.809473
15	3	20.423438	8.828397
16	0	20.814071	9.296054
16	1	20.825394	9.322086
16	2	20.587984	9.026749
16	3	20.677124	9.000463
17	0	20.893599	9.321318
17	1	20.844578	9.319800
17	2	20.613023	9.023437
17	3	20.731654	9.009139
18	0	19.528527	9.036343
18	1	20.869082	9.242612
18	2	20.634326	8.981098
18	3	20.725331	8.926585
19	0	20.852949	9.233763
19	1	20.840449	9.257554
19	2	20.348852	8.984606
19	3	20.706876	8.920858
20	0	20.384271	9.193819
20	1	20.332268	9.188666
20	2	20.229493	8.944725
20	3	20.330465	8.891455
21	0	20.675399	9.195406
21	1	20.506673	9.188649
21	2	20.326781	8.935007
21	3	20.417507	8.891212
22	0	20.482055	9.107893
22	1	20.546395	9.141574
22	2	20.153643	8.873470
22	3	20.304626	8.846880
23	0	20.669640	9.128874
23	1	20.502066	9.148176
23	2	20.327951	8.878702
23	3	20.481283	8.859455
24	0	20.787387	9.270577
24	1	20.855731	9.274608
24	2	20.564816	8.979650
24	3	20.700565	8.948000
25	0	20.868403	9.249166
25	1	20.812961	9.259043
25	2	20.607522	8.997117
25	3	20.737190	8.939401
26	0	20.853843	9.212769
26	1	20.848653	9.223101
26	2	20.544922	8.950619
26	3	20.721569	8.900446
27	0	20.856702	9.176898
27	1	20.836636	9.202910
27	2	20.564973	8.940983
27	3	20.741957	8.909159
28	0	20.360588	9.145722
28	1	20.404555	9.153205
28	2	20.264319	8.886651
28	3	20.431538	8.823063
29	0	20.569826	9.135254
29	1	20.611098	9.150443
29	2	20.377496	8.879168
29	3	20.514073	8.861264
30	0	20.404641	9.067919
30	1	20.500062	9.105627
30	2	20.152014	8.810886
30	3	20.377898	8.795142
31	0	20.562623	9.076740
31	1	20.467469	9.111035
31	2	20.294165	8.820015
31	3	20.471373	8.795650
32	0	20.792245	8.750131
32	1	20.792981	8.739037
32	2	20.590206	8.502379
32	3	20.682499	8.463851
33	0	20.836838	8.744778
33	1	20.801198	8.742230
33	2	20.626935	8.496546
33	3	20.702638	8.450299
34	0	20.823035	8.705086
34	1	20.827897	8.697473
34	2	20.616096	8.451258
34	3	20.701180	8.414879
35	0	20.839529	8.689126
35	1	20.850559	8.683471
35	2	20.600706	8.438943
35	3	20.733254	8.401525
36	0	20.545011	8.662341
36	1	20.508560	8.637358
36	2	20.252088	8.409537
36	3	20.263151	8.364569
37	0	20.572756	8.651063
37	1	20.447581	8.622916
37	2	20.296223	8.391584
37	3	20.423277	8.351241
38	0	20.419092	8.613499
38	1	20.427666	8.561516
38	2	20.297161	8.364312
38	3	20.335970	8.329107
39	0	20.596377	8.609207
39	1	20.592309	8.553257
39	2	20.418842	8.362990
39	3	20.476350	8.328186
40	0	20.778265	8.703339
40	1	20.804493	8.715511
40	2	20.595073	8.469234
40	3	20.697500	8.422666
41	0	20.855175	8.705199
41	1	20.826613	8.704071
41	2	20.619672	8.450638
41	3	20.723834	8.418157
42	0	20.846508	8.671867
42	1	20.825717	8.653137
42	2	20.622170	8.393343
42	3	20.709445	8.370787
43	0	20.844530	8.670554
43	1	20.809933	8.631634
43	2	20.618617	8.400855
43	3	20.721705	8.354626
44	0	20.570619	8.631612
44	1	20.525749	8.579575
44	2	20.343490	8.384248
44	3	20.409989	8.335330
45	0	20.700755	8.624433
45	1	20.640272	8.574205
45	2	20.466647	8.374496
45	3	20.518637	8.339154
46	0	20.590020	8.575434
46	1	20.580491	8.532568
46	2	20.207591	8.328993
46	3	20.329361	8.289267
47	0	20.624764	8.579183
47	1	20.608080	8.536787
47	2	20.445855	8.323391
47	3	20.540572	8.289735
48	0	20.783337	8.689023
48	1	20.824871	8.701914
48	2	20.598180	8.432628
48	3	20.677657	8.412011
49	0	20.835323	8.677749
49	1	20.798780	8.701569
49	2	20.574992	8.458648
49	3	20.723931	8.407484
50	0	20.846995	8.643972
50	1	20.796032	8.655727
50	2	20.593243	8.404466
50	3	20.723117	8.373425
51	0	20.851639	8.641431
51	1	20.858081	8.630394
51	2	20.583676	8.400021
51	3	20.721604	8.354329
52	0	20.365746	8.604676
52	1	20.311873	8.584132
52	2	20.166358	8.378853
52	3	20.274774	8.333303
53	0	20.584403	8.603352
53	1	20.498531	8.568692
53	2	20.377860	8.370430
53	3	20.480043	8.307524
54	0	20.179344	8.525715
54	1	20.421188	8.519115
54	2	20.337961	8.327970
54	3	20.455563	8.285443
55	0	20.538635	8.530571
55	1	20.386241	8.519346
55	2	20.362414	8.321855
55	3	20.507964	8.281515
56	0	20.781684	8.675055
56	1	20.828745	8.703259
56	2	20.590917	8.456880
56	3	20.696040	8.415301
57	0	20.849357	8.676278
57	1	20.797361	8.689483
57	2	20.623477	8.457177
57	3	20.738445	8.412446
58	0	20.855730	8.648879
58	1	20.821886	8.649125
58	2	20.607704	8.410092
58	3	20.729936	8.367122
59	0	20.721361	8.626368
59	1	20.826122	8.616624
59	2	20.582152	8.394503
59	3	20.744182	8.364373
60	0	20.516364	8.605575
60	1	20.457490	8.588323
60	2	20.301873	8.383103
60	3	20.374723	8.345971
61	0	20.647842	8.604812
61	1	20.559117	8.565477
61	2	20.390126	8.373514
61	3	20.510775	8.334400
62	0	20.537516	8.538421
62	1	20.560607	8.529410
62	2	20.193332	8.329290
62	3	20.306756	8.289309
63	0	20.618568	8.542800
63	1	20.631699	8.529858
63	2	20.498297	8.330528
63	3	20.561321	8.285756
64	0	19.436138	5.403714
64	1	19.426100	5.571185
64	2	19.539776	5.285589
64	3	17.346877	5.241040
65	0	19.421914	5.394574
65	1	19.337161	5.567722
65	2	19.459134	5.274385
65	3	17.336328	5.239363
66	0	19.426026	5.387510
66	1	19.439284	5.537938
66	2	19.490464	5.259729
66	3	17.395545	5.219665
67	0	19.500486	5.368739
67	1	19.435383	5.529057
67	2	19.508640	5.255963
67	3	17.375812	5.215715
68	0	19.145764	5.344384
68	1	19.124632	5.506412
68	2	19.235228	5.231572
68	3	17.342090	5.180893
69	0	19.378214	5.345066
69	1	19.349494	5.504379
69	2	19.399663	5.230285
69	3	17.356143	5.186167
70	0	19.224741	5.329422
70	1	19.138693	5.489517
70	2	19.213589	5.210736
70	3	17.336797	5.174403
71	0	19.219761	5.316314
71	1	19.243613	5.481569
71	2	19.312885	5.197820
71	3	17.366631	5.159930
72	0	19.351812	5.384779
72	1	19.378829	5.536834
72	2	19.464524	5.262390
72	3	17.231090	5.216341
73	0	19.430068	5.385858
73	1	19.381240	5.531404
73	2	19.506325	5.262504
73	3	17.345363	5.222730
74	0	19.443349	5.363067
74	1	19.475449	5.517075
74	2	19.531756	5.250790
74	3	17.393584	5.202201
75	0	19.440839	5.355367
75	1	19.342127	5.510019
75	2	19.514089	5.246656
75	3	17.346069	5.202166
76	0	19.085830	5.329287
76	1	19.204132	5.488507
76	2	19.117251	5.216189
76	3	17.306227	5.172344
77	0	19.223427	5.328778
77	1	19.188297	5.489540
77	2	19.340974	5.216745
77	3	17.343498	5.170221
78	0	19.166553	5.307513
78	1	19.142218	5.478638
78	2	19.117455	5.195532
78	3	17.289841	5.155631
79	0	19.174458	5.300768
79	1	19.147603	5.468007
79	2	19.320843	5.179738
79	3	17.330069	5.151298
80	0	18.951693	5.277437
80	1	18.977197	5.439506
80	2	18.999267	5.157851
80	3	19.014248	5.181701
81	0	18.991626	5.273704
81	1	18.947280	5.434790
81	2	19.059795	5.161103
81	3	19.019742	5.177392
82	0	18.859022	5.263371
82	1	18.865642	5.421585
82	2	19.006673	5.149927
82	3	19.006918	5.168881
83	0	18.922311	5.255144
83	1	18.939300	5.413635
83	2	19.013858	5.150545
83	3	18.992575	5.163047
84	0	18.697340	5.236199
84	1	18.679557	5.388585
84	2	18.929908	5.119933
84	3	18.901384	5.135549
85	0	18.944325	5.232075
85	1	18.964601	5.382238
85	2	19.033857	5.125464
85	3	18.992295	5.132463
86	0	18.884262	5.221342
86	1	18.907888	5.362666
86	2	18.929648	5.108834
86	3	18.878949	5.118253
87	0	18.900578	5.220513
87	1	18.901238	5.352153
87	2	18.941608	5.095758
87	3	18.938814	5.108864
88	0	18.881181	5.261075
88	1	18.930059	5.418568
88	2	18.955221	5.156337
88	3	18.929434	5.165867
89	0	18.990346	5.261773
89	1	18.895587	5.423076
89	2	19.005635	5.152649
89	3	18.977958	5.167899
90	0	18.982239	5.249864
90	1	18.996176	5.403326
90	2	19.060332	5.138138
90	3	19.050425	5.151888
91	0	18.948429	5.242337
91	1	18.980738	5.399924
91	2	19.050330	5.132278
91	3	19.009838	5.147236
92	0	18.851979	5.225390
92	1	18.869541	5.359904
92	2	18.871580	5.107751
92	3	18.828653	5.117737
93	0	18.908731	5.225263
93	1	18.892852	5.362680
93	2	18.991099	5.104733
93	3	18.930439	5.119408
94	0	18.844782	5.216608
94	1	18.853475	5.349469
94	2	18.906611	5.094100
94	3	18.892109	5.105210
95	0	18.913435	5.206060
95	1	18.848474	5.339106
95	2	18.980666	5.092398
95	3	18.961605	5.099176
96	0	19.544141	5.514522
96	1	19.586051	5.661963
96	2	19.515643	5.362537
96	3	19.644786	5.414018
97	0	19.608391	5.515134
97	1	19.579057	5.662581
97	2	19.667048	5.365359
97	3	19.664172	5.407565
98	0	19.549828	5.501516
98	1	19.587310	5.656579
98	2	19.519000	5.355159
98	3	19.674730	5.393349
99	0	19.627124	5.484259
99	1	19.627953	5.652073
99	2	19.675692	5.348340
99	3	19.750596	5.389252
100	0	19.334858	5.449584
100	1	19.387851	5.621089
100	2	19.445804	5.321338
100	3	19.374008	5.354606
101	0	19.535882	5.450850
101	1	19.513314	5.617832
101	2	19.547323	5.324060
101	3	19.624534	5.355705
102	0	19.347170	5.432348
102	1	19.440109	5.601062
102	2	19.521439	5.308281
102	3	19.481078	5.341308
103	0	19.367062	5.425465
103	1	19.474721	5.583130
103	2	19.314633	5.298699
103	3	19.480558	5.331050
104	0	19.499629	5.500866
104	1	19.547460	5.663686
104	2	19.527749	5.364476
104	3	19.630497	5.398118
105	0	19.543673	5.509488
105	1	19.539932	5.667366
105	2	19.505185	5.368326
