core	gpu	HostToDevice	DeviceToHost
0	0	0.000381	0.000433
0	1	0.000383	0.000440
0	2	0.000391	0.000660
0	3	0.000397	0.000693
1	0	0.000398	0.000433
1	1	0.000399	0.000440
1	2	0.000399	0.000679
1	3	0.000400	0.000692
2	0	0.000398	0.000433
2	1	0.000399	0.000440
2	2	0.000399	0.000678
2	3	0.000400	0.000690
3	0	0.000399	0.000433
3	1	0.000399	0.000440
3	2	0.000400	0.000679
3	3	0.000400	0.000690
4	0	0.000399	0.000433
4	1	0.000399	0.000440
4	2	0.000399	0.000678
4	3	0.000399	0.000689
5	0	0.000399	0.000433
5	1	0.000399	0.000440
5	2	0.000400	0.000678
5	3	0.000400	0.000689
6	0	0.000399	0.000433
6	1	0.000399	0.000440
6	2	0.000399	0.000677
6	3	0.000400	0.000689
7	0	0.000399	0.000433
7	1	0.000399	0.000440
7	2	0.000399	0.000677
7	3	0.000400	0.000689
8	0	0.000399	0.000433
8	1	0.000399	0.000440
8	2	0.000399	0.000677
8	3	0.000400	0.000687
9	0	0.000398	0.000433
9	1	0.000399	0.000440
9	2	0.000399	0.000676
9	3	0.000400	0.000685
10	0	0.000398	0.000433
10	1	0.000399	0.000440
10	2	0.000399	0.000675
10	3	0.000400	0.000686
11	0	0.000398	0.000433
11	1	0.000399	0.000440
11	2	0.000399	0.000676
11	3	0.000399	0.000686
12	0	0.000398	0.000433
12	1	0.000399	0.000440
12	2	0.000399	0.000675
12	3	0.000400	0.000686
13	0	0.000398	0.000433
13	1	0.000399	0.000440
13	2	0.000399	0.000677
13	3	0.000400	0.000687
14	0	0.000398	0.000433
14	1	0.000399	0.000440
14	2	0.000399	0.000675
14	3	0.000400	0.000686
15	0	0.000398	0.000433
15	1	0.000398	0.000440
15	2	0.000400	0.000676
15	3	0.000400	0.000687
16	0	0.000399	0.000433
16	1	0.000400	0.000440
16	2	0.000399	0.000675
16	3	0.000400	0.000686
17	0	0.000398	0.000433
17	1	0.000401	0.000440
17	2	0.000399	0.000673
17	3	0.000400	0.000684
18	0	0.000398	0.000433
18	1	0.000400	0.000440
18	2	0.000399	0.000672
18	3	0.000400	0.000683
19	0	0.000398	0.000433
19	1	0.000401	0.000440
19	2	0.000399	0.000672
19	3	0.000400	0.000683
20	0	0.000398	0.000433
20	1	0.000401	0.000440
20	2	0.000399	0.000672
20	3	0.000400	0.000682
21	0	0.000398	0.000433
21	1	0.000401	0.000440
21	2	0.000399	0.000671
21	3	0.000400	0.000682
22	0	0.000398	0.000433
22	1	0.000401	0.000440
22	2	0.000399	0.000672
22	3	0.000422	0.000684
23	0	0.000398	0.000433
23	1	0.000401	0.000440
23	2	0.000399	0.000671
23	3	0.000400	0.000683
24	0	0.000399	0.000433
24	1	0.000401	0.000440
24	2	0.000399	0.000673
24	3	0.000400	0.000686
25	0	0.000398	0.000433
25	1	0.000401	0.000440
25	2	0.000399	0.000672
25	3	0.000399	0.000682
26	0	0.000398	0.000433
26	1	0.000400	0.000440
26	2	0.000399	0.000672
26	3	0.000400	0.000683
27	0	0.000398	0.000433
27	1	0.000401	0.000440
27	2	0.000399	0.000671
27	3	0.000400	0.000681
28	0	0.000399	0.000433
28	1	0.000406	0.000440
28	2	0.000400	0.000670
28	3	0.000399	0.000681
29	0	0.000398	0.000433
29	1	0.000400	0.000440
29	2	0.000399	0.000669
29	3	0.000400	0.000680
30	0	0.000398	0.000433
30	1	0.000401	0.000440
30	2	0.000399	0.000667
30	3	0.000400	0.000678
31	0	0.000398	0.000433
31	1	0.000400	0.000440
31	2	0.000400	0.000669
31	3	0.000400	0.000678
32	0	0.000399	0.000433
32	1	0.000398	0.000440
32	2	0.000400	0.000575
32	3	0.000400	0.000573
33	0	0.000398	0.000433
33	1	0.000398	0.000440
33	2	0.000400	0.000573
33	3	0.000400	0.000573
34	0	0.000398	0.000433
34	1	0.000398	0.000440
34	2	0.000400	0.000572
34	3	0.000400	0.000569
35	0	0.000399	0.000433
35	1	0.000397	0.000440
35	2	0.000400	0.000573
35	3	0.000400	0.000573
36	0	0.000398	0.000433
36	1	0.000398	0.000440
36	2	0.000400	0.000572
36	3	0.000400	0.000575
37	0	0.000399	0.000433
37	1	0.000398	0.000440
37	2	0.000400	0.000576
37	3	0.000400	0.000574
38	0	0.000398	0.000433
38	1	0.000398	0.000440
38	2	0.000400	0.000574
38	3	0.000400	0.000570
39	0	0.000399	0.000433
39	1	0.000398	0.000440
39	2	0.000400	0.000572
39	3	0.000400	0.000570
40	0	0.000399	0.000433
40	1	0.000398	0.000440
40	2	0.000400	0.000570
40	3	0.000400	0.000570
41	0	0.000398	0.000433
41	1	0.000398	0.000440
41	2	0.000400	0.000574
41	3	0.000400	0.000573
42	0	0.000399	0.000433
42	1	0.000398	0.000440
42	2	0.000400	0.000574
42	3	0.000400	0.000574
43	0	0.000399	0.000433
43	1	0.000398	0.000440
43	2	0.000400	0.000575
43	3	0.000400	0.000574
44	0	0.000399	0.000433
44	1	0.000398	0.000440
44	2	0.000400	0.000574
44	3	0.000400	0.000574
45	0	0.000399	0.000433
45	1	0.000398	0.000440
45	2	0.000400	0.000570
45	3	0.000400	0.000569
46	0	0.000399	0.000433
46	1	0.000398	0.000440
46	2	0.000400	0.000570
46	3	0.000400	0.000570
47	0	0.000398	0.000433
47	1	0.000398	0.000440
47	2	0.000400	0.000569
47	3	0.000400	0.000570
48	0	0.000400	0.000433
48	1	0.000398	0.000440
48	2	0.000400	0.000572
48	3	0.000400	0.000574
49	0	0.000399	0.000433
49	1	0.000398	0.000440
49	2	0.000400	0.000572
49	3	0.000400	0.000570
50	0	0.000399	0.000433
50	1	0.000398	0.000440
50	2	0.000400	0.000571
50	3	0.000400	0.000573
51	0	0.000399	0.000433
51	1	0.000398	0.000440
51	2	0.000400	0.000575
51	3	0.000400	0.000576
52	0	0.000399	0.000433
52	1	0.000398	0.000440
52	2	0.000400	0.000576
52	3	0.000400	0.000573
53	0	0.000399	0.000433
53	1	0.000398	0.000440
53	2	0.000400	0.000575
53	3	0.000400	0.000576
54	0	0.000399	0.000433
54	1	0.000398	0.000440
54	2	0.000400	0.000577
54	3	0.000400	0.000577
55	0	0.000399	0.000433
55	1	0.000398	0.000440
55	2	0.000400	0.000576
55	3	0.000400	0.000575
56	0	0.000399	0.000433
56	1	0.000399	0.000440
56	2	0.000400	0.000576
56	3	0.000400	0.000578
57	0	0.000399	0.000433
57	1	0.000398	0.000440
57	2	0.000400	0.000573
57	3	0.000400	0.000573
58	0	0.000398	0.000433
58	1	0.000398	0.000440
58	2	0.000400	0.000574
58	3	0.000400	0.000572
59	0	0.000399	0.000433
59	1	0.000398	0.000440
59	2	0.000400	0.000574
59	3	0.000400	0.000573
