core	gpu	HostToDevice	DeviceToHost
0	0	16.826915	8.703546
0	1	14.987883	8.873298
0	2	15.296219	8.971622
0	3	14.531713	9.127435
1	0	24.556826	17.642518
1	1	24.601298	17.659608
1	2	24.523545	17.548520
1	3	24.475683	17.536767
2	0	24.583739	17.619493
2	1	24.575712	17.656007
2	2	24.601982	17.522232
2	3	24.551699	17.500608
3	0	24.613660	17.613752
3	1	24.619636	17.638944
3	2	24.561233	17.495196
3	3	24.519703	17.450388
4	0	24.573891	17.543309
4	1	24.555176	17.557541
4	2	24.557053	17.394766
4	3	24.515892	17.412736
5	0	24.617293	17.535255
5	1	24.620848	17.547798
5	2	24.611814	17.428582
5	3	24.533985	17.397335
6	0	24.523476	17.517349
6	1	24.583542	17.527661
6	2	24.586156	17.382282
6	3	24.498425	17.397637
7	0	24.559198	17.499354
7	1	24.556520	17.493039
7	2	24.525122	17.387150
7	3	24.449465	17.355789
8	0	24.384051	17.447065
8	1	24.289197	17.435657
8	2	24.398252	17.310037
8	3	24.271666	17.324104
9	0	24.279476	17.412925
9	1	24.303288	17.409999
9	2	24.301178	17.314339
9	3	24.204414	17.297204
10	0	24.325867	17.366125
10	1	24.300134	17.363561
10	2	24.244622	17.255672
10	3	24.118419	17.302946
11	0	24.296245	17.357966
11	1	24.296941	17.372689
11	2	24.230531	17.253647
11	3	24.091972	17.213901
12	0	24.232541	17.335273
12	1	24.291981	17.324094
12	2	24.222117	17.219734
12	3	24.084500	17.188363
13	0	24.233802	17.309257
13	1	24.300279	17.332310
13	2	23.976322	17.195157
13	3	24.214909	17.161449
14	0	24.306492	17.332182
14	1	24.257398	17.295920
14	2	24.240790	17.215921
14	3	24.215371	17.123764
15	0	24.278704	17.262221
15	1	24.263513	17.271423
15	2	24.214218	17.111416
15	3	24.147360	17.153770
16	0	24.175910	17.269298
16	1	24.217628	17.234043
16	2	24.101171	17.132069
16	3	24.045058	17.082858
17	0	24.202695	17.232165
17	1	24.135367	17.207965
17	2	24.099649	17.088421
17	3	24.069332	17.095504
18	0	24.171564	17.200250
18	1	24.151918	17.201806
18	2	24.184168	17.056559
18	3	24.133887	17.069548
19	0	24.171860	17.182194
19	1	24.244959	17.155863
19	2	24.157099	17.086478
19	3	24.111264	17.027366
20	0	24.179262	17.164050
20	1	24.199481	17.175449
20	2	24.176140	17.014768
20	3	24.072018	17.009159
21	0	24.175432	17.171428
21	1	24.171171	17.119859
21	2	24.124034	16.995324
21	3	23.957434	16.950321
22	0	24.121412	17.123692
22	1	24.157424	17.152035
22	2	24.107454	16.973079
22	3	24.118505	16.953565
23	0	24.181293	17.117674
23	1	24.145354	17.102829
23	2	24.121335	16.980039
23	3	24.056904	16.975958
24	0	24.060698	17.066832
24	1	24.063363	17.045217
24	2	24.115179	16.962013
24	3	23.966606	16.921148
25	0	24.070775	17.026625
25	1	24.027442	17.006268
25	2	24.039451	16.952119
25	3	23.970446	16.894497
26	0	24.032664	17.049279
26	1	24.104798	17.016244
26	2	24.040814	16.898955
26	3	23.945553	16.853566
27	0	24.002893	16.975486
27	1	23.999750	16.978678
27	2	24.016257	16.866146
27	3	24.003507	16.828432
28	0	24.080480	16.725517
28	1	24.008756	16.719175
28	2	24.043362	16.561401
28	3	23.934482	16.612270
29	0	24.048809	16.945394
29	1	24.019726	16.944881
29	2	24.007217	16.853701
29	3	23.921781	16.790544
30	0	24.000835	16.935050
30	1	24.003544	16.869535
30	2	24.010626	16.773374
30	3	23.907604	16.776173
31	0	24.034500	16.890126
31	1	24.072560	16.917358
31	2	23.972602	16.789075
31	3	23.869223	16.736836
32	0	24.117895	16.863746
32	1	24.057843	16.880200
32	2	24.081620	16.783761
32	3	24.037681	16.753659
33	0	24.132399	16.936427
33	1	24.184302	16.890108
33	2	24.055084	16.787935
33	3	24.093056	16.758895
34	0	24.043722	16.902357
34	1	24.098878	16.892842
34	2	24.057264	16.743447
34	3	24.032910	16.738456
35	0	24.127887	16.915530
35	1	24.080186	16.885925
35	2	24.079987	16.737185
35	3	24.006235	16.727754
36	0	24.041496	16.908154
36	1	24.031093	16.879047
36	2	24.046592	16.779549
36	3	23.988676	16.741569
