core	gpu	HostToDevice	DeviceToHost
0	0	25.735730	25.646711
0	1	25.648264	25.643323
0	2	25.560245	14.496667
0	3	25.118556	14.196591
1	0	25.671456	25.241817
1	1	25.731832	25.575484
1	2	25.615288	14.453903
1	3	25.276539	14.209474
2	0	25.692577	25.648398
2	1	25.747839	25.566482
2	2	25.658520	14.455486
2	3	25.311055	14.204228
3	0	25.745477	25.643727
3	1	25.650823	25.646054
3	2	25.579875	14.455735
3	3	25.221331	14.214745
4	0	25.704110	25.183906
4	1	25.715424	25.649739
4	2	25.609279	14.456552
4	3	25.260341	14.211310
5	0	25.692117	25.645785
5	1	25.768717	25.645293
5	2	25.662357	14.459163
5	3	25.318411	14.217025
6	0	25.741517	25.650470
6	1	25.642748	25.544516
6	2	25.582022	14.459036
6	3	25.232269	14.220174
7	0	25.715061	25.239231
7	1	25.704428	25.649988
7	2	25.608951	14.466340
7	3	25.280429	14.221772
8	0	25.674562	25.648287
8	1	25.778005	25.649934
8	2	25.640620	14.465004
8	3	25.268298	14.214189
9	0	25.731282	25.647765
9	1	25.642185	25.525290
9	2	25.563513	14.465176
9	3	25.180779	14.214308
10	0	25.773049	25.636107
10	1	25.698232	25.649634
10	2	25.594446	14.463797
10	3	25.216889	14.211494
11	0	25.673846	25.647994
11	1	25.762555	25.649105
11	2	25.638577	14.454318
11	3	25.254266	14.214552
12	0	25.726649	25.645923
12	1	25.641943	25.366719
12	2	25.556870	14.458006
12	3	25.170748	14.215716
13	0	25.786446	25.645637
13	1	25.691624	25.648634
13	2	25.585384	14.459298
13	3	25.216004	14.219570
14	0	25.676428	25.647000
14	1	25.751445	25.648566
14	2	25.636215	14.460623
14	3	25.250802	14.213421
15	0	25.730821	25.647249
15	1	25.644788	25.364429
15	2	25.565156	14.456357
15	3	25.185095	14.210047
16	0	25.780405	25.640944
16	1	25.693137	25.648055
16	2	25.615006	14.467021
16	3	25.276441	14.220446
17	0	25.671565	25.646674
17	1	25.746855	25.649769
17	2	25.659575	14.465040
17	3	25.330090	14.222030
18	0	25.718607	25.649489
18	1	25.642936	25.187511
18	2	25.579865	14.466387
18	3	25.236733	14.220853
19	0	25.779667	25.648260
19	1	25.674768	25.650446
19	2	25.604992	14.465085
19	3	25.273596	14.212746
20	0	25.674720	25.497223
20	1	25.733276	25.649388
20	2	25.647283	14.465149
20	3	25.314916	14.214046
21	0	25.715976	25.647014
21	1	25.718464	25.257087
21	2	25.599099	14.465116
21	3	25.233515	14.217022
22	0	25.775519	25.645397
22	1	25.653239	25.647240
22	2	25.614055	14.461385
22	3	25.279153	14.211254
23	0	25.664225	25.474134
23	1	25.730211	25.649863
23	2	25.663682	14.459664
23	3	25.314949	14.213871
24	0	25.713941	25.645488
24	1	25.742213	25.483450
24	2	25.563651	14.456918
24	3	25.204455	14.206747
25	0	25.770451	25.643474
25	1	25.650709	25.646822
25	2	25.589152	14.464157
25	3	25.224198	14.215140
26	0	25.666575	25.447703
26	1	25.718613	25.649126
26	2	25.643808	14.464381
26	3	25.267612	14.211913
27	0	25.713386	25.644081
27	1	25.779196	25.646724
27	2	25.564246	14.459954
27	3	25.206059	14.221591
28	0	25.763350	25.645832
28	1	25.643421	25.649085
28	2	25.591070	14.468693
28	3	25.218085	14.216165
29	0	25.669514	25.440130
29	1	25.710153	25.647081
29	2	25.634600	14.468521
29	3	25.265533	14.222405
30	0	25.712722	25.646149
30	1	25.772526	25.649472
30	2	25.566833	14.470542
30	3	25.244156	14.216560
31	0	25.772223	25.644340
31	1	25.639422	25.627250
31	2	25.602737	14.464477
31	3	25.224719	14.218311
32	0	25.673819	25.499007
32	1	25.708329	25.648533
32	2	25.384381	14.612980
32	3	25.541099	14.686640
33	0	25.702638	25.644845
33	1	25.760795	25.648183
33	2	25.359490	14.613341
33	3	25.525246	14.684316
34	0	25.748555	25.645323
34	1	25.640038	25.317777
34	2	25.375799	14.617541
34	3	25.438277	14.681019
35	0	25.768398	25.566695
35	1	25.673505	25.648425
35	2	25.404997	14.623264
35	3	25.530205	14.695686
36	0	25.674677	25.644640
36	1	25.721858	25.648324
36	2	25.408342	14.622177
36	3	25.548215	14.691356
37	0	25.723885	25.645545
37	1	25.771639	25.646902
37	2	25.350309	14.610088
37	3	25.476137	14.684914
38	0	25.772121	25.644727
38	1	25.638375	25.579115
38	2	25.378212	14.613007
38	3	25.484374	14.690661
39	0	25.672598	25.328264
