core	gpu	HostToDevice	DeviceToHost
0	0	0.011857	0.018853
0	1	0.012178	0.020893
0	2	0.011965	0.016913
0	3	0.011733	0.015964
1	0	0.010481	0.014633
1	1	0.010420	0.014628
1	2	0.010533	0.014924
1	3	0.010770	0.014770
2	0	0.010495	0.014794
2	1	0.010551	0.014813
2	2	0.010616	0.014762
2	3	0.010727	0.014779
3	0	0.010589	0.014817
3	1	0.010574	0.014763
3	2	0.010609	0.014835
3	3	0.010736	0.014949
4	0	0.010540	0.014825
4	1	0.010472	0.014862
4	2	0.010606	0.014926
4	3	0.010720	0.015048
5	0	0.010644	0.014875
5	1	0.010630	0.014853
5	2	0.010667	0.014854
5	3	0.010755	0.014922
6	0	0.010478	0.015026
6	1	0.010527	0.014979
6	2	0.010578	0.015007
6	3	0.010751	0.015102
7	0	0.010545	0.015076
7	1	0.010474	0.015045
7	2	0.010661	0.015158
7	3	0.010753	0.015142
8	0	0.011752	0.015226
8	1	0.011656	0.015234
8	2	0.011730	0.015352
8	3	0.011826	0.015276
9	0	0.011667	0.015276
9	1	0.011617	0.015319
9	2	0.011733	0.015352
9	3	0.011784	0.015352
10	0	0.011754	0.015370
10	1	0.011615	0.015350
10	2	0.011766	0.015522
10	3	0.011848	0.015446
11	0	0.011767	0.015476
11	1	0.011718	0.015304
11	2	0.011797	0.015444
11	3	0.011843	0.015448
12	0	0.011845	0.015534
12	1	0.011837	0.015443
12	2	0.011853	0.015647
12	3	0.011836	0.015541
13	0	0.011856	0.015552
13	1	0.011883	0.015623
13	2	0.011838	0.015663
13	3	0.011935	0.015659
14	0	0.011958	0.015666
14	1	0.011961	0.015832
14	2	0.011949	0.015698
14	3	0.011988	0.015578
15	0	0.011887	0.015728
15	1	0.011998	0.015873
15	2	0.012135	0.015838
15	3	0.012053	0.015812
16	0	0.012341	0.015900
16	1	0.012182	0.015845
16	2	0.012125	0.015823
16	3	0.012249	0.015918
17	0	0.012122	0.015766
17	1	0.012139	0.015824
17	2	0.012116	0.015682
17	3	0.012143	0.015741
18	0	0.011988	0.015712
18	1	0.011993	0.015776
18	2	0.012134	0.016020
18	3	0.012143	0.015940
19	0	0.012340	0.015982
19	1	0.012288	0.016014
19	2	0.012243	0.016067
19	3	0.012191	0.016035
20	0	0.012246	0.016102
20	1	0.012263	0.016063
20	2	0.012188	0.015908
20	3	0.012309	0.015995
21	0	0.012127	0.016009
21	1	0.012265	0.015978
21	2	0.012300	0.016074
21	3	0.012374	0.016297
22	0	0.012085	0.016119
22	1	0.012180	0.016002
22	2	0.012351	0.016120
22	3	0.012354	0.016166
23	0	0.012410	0.016202
23	1	0.012441	0.016301
23	2	0.012328	0.016215
23	3	0.012327	0.016243
24	0	0.012527	0.016313
24	1	0.012459	0.016378
24	2	0.012388	0.016359
24	3	0.012487	0.016368
25	0	0.012282	0.016235
25	1	0.012390	0.016252
25	2	0.012513	0.016409
25	3	0.012244	0.016464
26	0	0.012547	0.016467
26	1	0.012551	0.016464
26	2	0.012479	0.016450
26	3	0.012276	0.016448
27	0	0.012590	0.016584
27	1	0.012515	0.016639
27	2	0.012299	0.016648
27	3	0.012259	0.016598
