core	gpu	HostToDevice	DeviceToHost
0	0	26.659364	24.025525
0	1	26.677990	23.699852
0	2	26.343066	14.932040
0	3	25.915114	14.563822
1	0	26.593699	26.294214
1	1	26.681908	26.292302
1	2	26.466740	14.813617
1	3	26.010749	14.564935
2	0	26.562812	26.292657
2	1	26.676132	26.293506
2	2	26.466992	14.804443
2	3	25.998267	14.555247
3	0	26.601559	26.293099
3	1	26.679484	26.293506
3	2	26.499957	14.818686
3	3	26.010177	14.575527
4	0	26.567617	26.293577
4	1	26.678445	26.293064
4	2	26.465646	14.824135
4	3	25.984397	14.584947
5	0	26.583962	26.293081
5	1	26.677826	26.291789
5	2	26.470686	14.838754
5	3	25.999720	14.573444
6	0	26.575841	26.292816
6	1	26.663295	26.292019
6	2	26.518847	14.816758
6	3	26.024646	14.574967
7	0	26.583528	26.292143
7	1	26.679338	26.293028
7	2	26.493612	14.815314
7	3	26.008185	14.564386
8	0	26.521962	26.293117
8	1	26.677826	26.292656
8	2	26.432372	14.801347
8	3	25.937881	14.576060
9	0	26.559091	26.293046
9	1	26.678537	26.293506
9	2	26.396702	14.814628
9	3	25.910387	14.559159
10	0	26.560969	26.293081
10	1	26.675367	26.292833
10	2	26.410605	14.820496
10	3	25.916180	14.584207
11	0	26.550047	26.294267
11	1	26.677826	26.294179
11	2	26.428116	14.827444
11	3	25.934677	14.565489
12	0	26.541316	26.293152
12	1	26.675421	26.294019
12	2	26.438491	14.825181
12	3	25.969178	14.566564
13	0	26.550228	26.292887
13	1	26.679830	26.292780
13	2	26.444720	14.814190
13	3	25.970490	14.581964
14	0	26.554090	26.292586
14	1	26.680395	26.290215
14	2	26.435145	14.840028
14	3	25.923834	14.593170
15	0	26.564871	26.293311
15	1	26.679976	26.294019
15	2	26.425917	14.831683
15	3	25.955960	14.581006
16	0	26.559380	26.292975
16	1	26.676150	26.293542
16	2	26.439815	14.843062
16	3	26.027074	14.592030
17	0	26.551563	26.294302
17	1	26.674893	26.293630
17	2	26.399592	14.835356
17	3	26.019394	14.589169
18	0	26.535871	26.290621
18	1	26.680978	26.293984
18	2	26.451972	14.821936
18	3	26.015703	14.570683
19	0	26.546132	26.293595
19	1	26.675622	26.293205
19	2	26.452957	14.852690
19	3	26.038299	14.606604
20	0	26.545735	26.292922
20	1	26.681689	26.293170
20	2	26.458082	14.850273
20	3	26.021907	14.606478
21	0	26.568051	26.293630
21	1	26.680249	26.293240
21	2	26.453656	14.850871
21	3	26.026103	14.602656
22	0	26.513393	26.294072
22	1	26.678482	26.293488
22	2	26.461451	14.867721
22	3	26.014334	14.613588
23	0	26.542361	26.292709
23	1	26.681197	26.294143
23	2	26.446170	14.868033
23	3	26.021543	14.599824
24	0	26.570201	26.292639
24	1	26.677334	26.292780
24	2	26.422360	14.870065
24	3	25.929650	14.613653
25	0	26.542542	26.292833
25	1	26.676879	26.293417
25	2	26.423343	14.841048
25	3	25.987284	14.612456
26	0	26.554848	26.292816
26	1	26.676260	26.291488
26	2	26.429958	14.850905
26	3	25.987474	14.614309
27	0	26.542560	26.293099
27	1	26.675203	26.293028
27	2	26.420519	14.853735
27	3	25.963240	14.622543
28	0	26.540108	26.293170
28	1	26.680650	26.294072
28	2	26.421252	14.865453
28	3	26.003390	14.630298
29	0	26.545121	26.293736
29	1	26.678646	26.293807
29	2	26.419608	14.861222
29	3	25.937743	14.618039
30	0	26.544418	26.289454
30	1	26.679229	26.293718
30	2	26.443431	14.879989
30	3	25.959928	14.635176
31	0	26.540108	26.291683
31	1	26.678937	26.293329
31	2	26.447459	14.875592
31	3	26.002195	14.639378
32	0	26.538665	26.292019
32	1	26.681215	26.293116
32	2	26.176967	16.266607
32	3	26.360043	16.323625
33	0	26.533131	26.292710
33	1	26.681033	26.293205
33	2	26.191166	16.268924
33	3	26.382440	16.312316
34	0	26.553602	26.289170
34	1	26.680031	26.290798
34	2	25.920549	16.277642
34	3	26.300269	16.313249
35	0	26.566822	26.293258
35	1	26.682126	26.292426
35	2	26.235953	16.286805
35	3	26.367534	16.348390
36	0	26.549325	26.293294
36	1	26.680905	26.293559
36	2	26.192009	16.279270
36	3	26.384435	16.329910
37	0	26.555444	26.293241
37	1	26.681871	26.292992
37	2	26.218642	16.278110
37	3	26.364082	16.342036
38	0	26.553386	26.290551
38	1	26.682801	26.290728
38	2	26.197050	16.289297
38	3	26.374353	16.312289
39	0	26.570906	26.291559
39	1	26.680723	26.294161
39	2	26.208686	16.288760
39	3	26.373213	16.319642
40	0	26.573906	26.293152
40	1	26.681088	26.292037
40	2	26.121092	16.283600
40	3	26.318148	16.339767
41	0	26.555119	26.292763
41	1	26.682382	26.293170
41	2	26.121022	16.255032
41	3	26.304342	16.339199
42	0	26.553133	26.291825
42	1	26.680577	26.289206
42	2	26.133185	16.314680
42	3	26.300924	16.373827
43	0	26.539422	26.293028
43	1	26.682691	26.292161
43	2	26.146969	16.338257
43	3	26.323717	16.378530
44	0	26.569514	26.291984
44	1	26.679539	26.291825
44	2	26.131472	16.311982
44	3	26.329536	16.355413
45	0	26.555119	26.292869
45	1	26.679794	26.292002
45	2	26.123450	16.308890
45	3	26.308027	16.364697
46	0	26.530860	26.294019
46	1	26.681853	26.293346
46	2	26.150575	16.310906
46	3	26.282060	16.374905
47	0	26.534050	26.291683
47	1	26.681361	26.293170
47	2	26.153937	16.325631
47	3	26.308204	16.361250
48	0	26.562089	26.292320
48	1	26.680905	26.293117
48	2	26.172915	16.326463
48	3	26.345110	16.365376
49	0	26.559867	26.293612
49	1	26.675257	26.291152
49	2	26.164062	16.319376
49	3	26.344310	16.359413
50	0	26.559307	26.292816
50	1	26.681762	26.292639
50	2	26.186390	16.294950
50	3	26.336708	16.342105
51	0	26.548242	26.293205
51	1	26.680796	26.292391
51	2	26.161206	16.299078
51	3	26.349837	16.338838
52	0	26.535654	26.293258
52	1	26.679921	26.292196
52	2	26.141160	16.285311
52	3	26.344452	16.326757
53	0	26.542596	26.293063
53	1	26.679830	26.292497
53	2	26.171407	16.309715
53	3	26.355170	16.356036
54	0	26.548261	26.291064
54	1	26.680905	26.291825
54	2	26.174423	16.339897
54	3	26.358816	16.380879
55	0	26.553404	26.291648
55	1	26.681598	26.291595
55	2	26.163501	16.339145
55	3	26.340065	16.368757
56	0	26.499507	26.289985
56	1	26.681507	26.290020
56	2	26.159069	16.325583
56	3	26.356646	16.350320
57	0	26.542993	26.291488
57	1	26.681798	26.291524
57	2	26.163519	16.293251
57	3	26.347526	16.335715
58	0	26.541694	26.291011
58	1	26.654216	26.291559
58	2	26.161925	16.307427
58	3	26.345181	16.333693
59	0	26.536952	26.292409
59	1	26.681142	26.290958
59	2	26.188655	16.290404
59	3	26.358122	16.325494
60	0	26.544075	26.291099
60	1	26.682837	26.291471
60	2	26.163782	16.281822
60	3	26.340597	16.305997
61	0	26.529671	26.292055
61	1	26.679630	26.291294
61	2	26.183669	16.284706
61	3	26.336814	16.316439
62	0	26.541875	26.291807
62	1	26.682491	26.291064
62	2	26.165657	16.277323
62	3	26.335891	16.326805
63	0	26.542596	26.293170
63	1	26.581791	26.290781
63	2	26.180984	16.269283
63	3	26.338679	16.324969
64	0	26.326591	15.159141
64	1	25.931131	14.940750
64	2	26.684168	26.295064
64	3	26.645107	26.295205
65	0	26.333920	15.174605
65	1	25.995291	14.939429
65	2	26.685718	26.293718
65	3	26.675476	26.293471
66	0	26.328471	15.187650
66	1	26.000361	14.941390
66	2	26.661675	26.293807
66	3	26.678354	26.294515
67	0	26.305139	15.148660
67	1	26.009969	14.928581
67	2	26.684259	26.294161
67	3	26.677699	26.295276
68	0	26.292993	15.154660
68	1	26.009155	14.917881
68	2	26.685207	26.294515
68	3	26.676205	26.293984
69	0	26.328720	15.156771
69	1	25.991071	14.921077
69	2	26.683876	26.294462
69	3	26.676569	26.293718
70	0	26.305582	15.194107
70	1	25.978470	14.961224
70	2	26.685134	26.295311
70	3	26.672179	26.294391
71	0	26.317332	15.170068
71	1	25.996364	14.942155
71	2	26.680814	26.295542
71	3	26.677298	26.294002
72	0	26.324728	15.157253
72	1	25.933421	14.931634
72	2	26.684533	26.294338
72	3	26.674711	26.293028
73	0	26.286888	15.170492
73	1	25.947253	14.940384
73	2	26.679757	26.294727
73	3	26.676606	26.295435
74	0	26.299241	15.196625
74	1	25.908067	14.966412
74	2	26.684277	26.295011
74	3	26.674547	26.295860
75	0	26.278223	15.201640
75	1	25.914513	14.985894
75	2	26.683238	26.295949
75	3	26.678482	26.295010
76	0	26.290055	15.186151
76	1	25.923009	14.963970
76	2	26.684952	26.295400
76	3	26.676678	26.294108
77	0	26.299153	15.174169
77	1	25.965070	14.971041
77	2	26.676277	26.294002
77	3	26.676605	26.292993
78	0	26.292568	15.197098
78	1	25.946978	14.954162
78	2	26.685225	26.295046
78	3	26.677826	26.295028
79	0	26.285827	15.170469
79	1	25.955805	14.945974
79	2	26.680906	26.294373
79	3	26.677334	26.293612
80	0	26.331045	15.169225
80	1	26.012671	14.925291
80	2	26.681288	26.295595
80	3	26.671360	26.294816
