core	gpu	HostToDevice	DeviceToHost
0	0	0.000201	0.000229
0	1	0.000201	0.000234
0	2	0.000203	0.000334
0	3	0.000207	0.000356
1	0	0.000209	0.000229
1	1	0.000209	0.000229
1	2	0.000209	0.000350
1	3	0.000209	0.000358
2	0	0.000209	0.000229
2	1	0.000209	0.000229
2	2	0.000209	0.000351
2	3	0.000209	0.000356
3	0	0.000209	0.000229
3	1	0.000209	0.000229
3	2	0.000209	0.000349
3	3	0.000210	0.000356
4	0	0.000209	0.000229
4	1	0.000209	0.000229
4	2	0.000209	0.000350
4	3	0.000210	0.000355
5	0	0.000209	0.000229
5	1	0.000209	0.000229
5	2	0.000209	0.000349
5	3	0.000209	0.000355
6	0	0.000209	0.000229
6	1	0.000209	0.000229
6	2	0.000209	0.000350
6	3	0.000209	0.000356
7	0	0.000209	0.000229
7	1	0.000209	0.000229
7	2	0.000209	0.000350
7	3	0.000209	0.000355
8	0	0.000209	0.000229
8	1	0.000209	0.000229
8	2	0.000209	0.000351
8	3	0.000209	0.000356
9	0	0.000209	0.000229
9	1	0.000209	0.000229
9	2	0.000209	0.000350
9	3	0.000209	0.000357
10	0	0.000209	0.000229
10	1	0.000209	0.000229
10	2	0.000209	0.000350
10	3	0.000209	0.000355
11	0	0.000209	0.000229
11	1	0.000209	0.000229
11	2	0.000209	0.000350
11	3	0.000209	0.000357
12	0	0.000209	0.000229
12	1	0.000209	0.000229
12	2	0.000209	0.000348
12	3	0.000209	0.000354
13	0	0.000209	0.000229
13	1	0.000209	0.000229
13	2	0.000209	0.000348
13	3	0.000209	0.000355
14	0	0.000209	0.000229
14	1	0.000209	0.000229
14	2	0.000209	0.000349
14	3	0.000209	0.000355
15	0	0.000209	0.000229
15	1	0.000209	0.000229
15	2	0.000209	0.000348
15	3	0.000209	0.000355
16	0	0.000209	0.000229
16	1	0.000210	0.000229
16	2	0.000209	0.000348
16	3	0.000209	0.000355
17	0	0.000209	0.000229
17	1	0.000210	0.000229
17	2	0.000209	0.000345
17	3	0.000209	0.000352
18	0	0.000209	0.000229
18	1	0.000210	0.000229
18	2	0.000209	0.000346
18	3	0.000209	0.000353
19	0	0.000209	0.000229
19	1	0.000210	0.000229
