core	gpu	HostToDevice	DeviceToHost
0	0	129.292911	68.842407
0	1	128.790204	68.836408
0	2	130.765955	65.946498
0	3	128.849095	66.201389
1	0	150.833242	68.855407
1	1	151.259063	69.071601
1	2	149.333559	65.802819
1	3	149.296881	66.306853
2	0	150.952809	68.498445
2	1	151.342417	68.683118
2	2	149.036891	65.569506
2	3	149.544872	65.951059
3	0	151.037960	68.299479
3	1	151.263113	68.409219
3	2	149.363492	65.345734
3	3	149.304718	65.897317
4	0	146.747384	67.979456
4	1	148.455743	68.239829
4	2	144.596519	65.176099
4	3	146.222327	65.494938
5	0	148.042452	67.751082
5	1	148.949185	68.166891
5	2	146.102116	64.988393
5	3	146.938803	65.306711
6	0	148.211734	67.597555
6	1	147.137941	67.709967
6	2	146.739321	64.659651
6	3	145.497806	64.858875
7	0	149.343996	67.507953
7	1	149.145229	67.702361
7	2	147.047156	64.619487
7	3	146.448006	64.682135
8	0	150.795104	68.393338
8	1	151.407448	68.746909
8	2	149.080321	65.732788
8	3	149.679091	65.947996
9	0	150.972304	68.530446
9	1	151.351452	68.736228
9	2	149.298731	65.662589
9	3	149.353013	66.005434
10	0	151.057422	68.206525
10	1	151.365468	68.303162
10	2	149.337470	65.115111
10	3	149.483707	65.359722
11	0	151.069483	67.970890
11	1	148.592507	68.217921
11	2	148.987323	65.185508
11	3	149.507167	65.375622
12	0	145.847364	67.559085
12	1	145.761265	67.922629
12	2	145.985639	64.760042
12	3	146.642334	65.158252
13	0	148.551231	67.535864
13	1	147.870145	68.048325
13	2	147.589684	64.737951
13	3	147.499689	65.119890
14	0	147.020331	67.413238
14	1	148.700606	67.521431
14	2	145.712108	64.321889
14	3	144.946022	64.616294
15	0	148.955178	67.505656
15	1	148.421762	67.429360
15	2	147.663393	64.506927
15	3	146.649751	64.497848
16	0	151.154911	68.960052
16	1	151.481502	69.001751
16	2	149.117843	66.077442
16	3	149.431855	66.311719
17	0	151.420272	68.852789
17	1	151.536111	68.949645
17	2	148.963508	65.909371
17	3	149.299349	66.244246
18	0	151.363342	68.474886
18	1	151.427258	68.325863
18	2	148.872958	65.433477
18	3	149.231034	65.869849
19	0	151.479151	68.372589
19	1	151.545777	68.445170
19	2	149.409376	65.620626
19	3	149.228107	65.792102
20	0	148.252725	68.101700
20	1	146.633149	68.304148
20	2	145.771250	65.160467
20	3	146.012404	65.375077
21	0	148.682780	67.989725
21	1	149.729326	68.342554
21	2	146.067564	64.919766
21	3	147.167523	65.260520
22	0	148.774238	67.583411
22	1	147.608187	67.749582
22	2	147.002347	64.657555
22	3	145.548803	65.012304
23	0	149.391959	67.575181
23	1	148.490723	67.738498
23	2	147.323429	64.594825
23	3	146.180767	64.834000
24	0	151.284010	68.551130
24	1	151.237353	68.766038
24	2	149.186088	65.635757
24	3	149.457665	65.980872
25	0	151.421022	68.650759
25	1	151.329165	68.608043
25	2	148.796904	65.546292
25	3	149.332446	65.584373
26	0	151.256529	68.252053
26	1	151.531521	68.311619
26	2	149.003506	65.126143
26	3	149.662570	65.522235
27	0	151.539036	68.165184
27	1	151.711626	68.294288
27	2	149.133678	65.145012
27	3	149.198795	65.420688
28	0	147.539452	67.625595
28	1	146.411149	67.931300
28	2	146.053404	64.444267
28	3	144.204830	65.010976
29	0	149.354845	67.589973
29	1	148.263936	67.890523
29	2	147.106888	64.638090
29	3	145.801373	65.004973
30	0	148.012068	67.374445
30	1	146.903837	67.483640
30	2	146.768718	64.337405
30	3	145.106792	64.478983
31	0	147.752517	67.318667
31	1	148.471122	67.282048
31	2	147.387902	64.356369
31	3	146.929197	64.524478
32	0	150.974419	64.765707
32	1	151.159143	64.660485
32	2	148.991426	62.016627
32	3	149.082543	61.980674
33	0	151.238930	64.722844
33	1	151.300326	64.550896
33	2	148.751768	61.932540
33	3	149.270763	61.985318
34	0	150.641491	64.448783
34	1	150.235729	64.173327
34	2	148.392388	61.741204
34	3	148.281823	61.906871
35	0	150.465831	64.403274
35	1	150.012296	64.139133
35	2	148.483732	61.811154
35	3	148.317226	61.733982
36	0	147.160057	63.968729
36	1	146.186861	63.802570
36	2	146.261849	61.525801
36	3	144.437773	61.547592
37	0	148.086004	63.957336
37	1	147.331753	63.802745
37	2	146.722326	61.561626
37	3	145.627308	61.490447
38	0	147.709137	63.683038
38	1	146.450264	63.483995
38	2	144.246516	61.128141
38	3	145.352722	61.033481
39	0	148.719917	63.644315
39	1	147.836263	63.471422
39	2	147.077612	61.206109
39	3	146.204435	61.175613
