core	gpu	HostToDevice	DeviceToHost
0	0	130.092147	106.283675
0	1	136.484755	116.764766
0	2	128.851370	107.056025
0	3	127.940056	104.941411
1	0	136.333470	117.903079
1	1	136.495413	117.772052
1	2	127.121665	106.486930
1	3	126.727402	104.342118
2	0	134.859548	116.277140
2	1	136.618012	116.364925
2	2	125.718046	105.684026
2	3	126.813960	103.806486
3	0	134.674174	115.694951
3	1	137.384118	114.817474
3	2	127.066257	104.684374
3	3	127.105324	102.196751
4	0	134.477028	113.955622
4	1	136.381839	114.028661
4	2	126.802098	103.415806
4	3	127.258091	101.319058
5	0	134.855724	113.655008
5	1	134.926409	113.744124
5	2	125.975221	103.396852
5	3	126.339940	101.602048
6	0	134.018825	111.714032
6	1	134.560201	112.622773
6	2	126.611439	102.458593
6	3	126.160245	100.989080
7	0	134.526373	111.603747
7	1	136.948209	111.908601
7	2	126.933933	101.222138
7	3	125.978848	100.561802
8	0	132.277766	110.914389
8	1	132.671767	111.696969
8	2	123.802827	101.804736
8	3	123.284935	99.746060
9	0	134.224155	109.569774
9	1	136.826782	110.100731
9	2	126.256159	100.503323
9	3	126.411244	99.153846
10	0	134.281660	108.167435
10	1	137.161713	108.316238
10	2	126.883969	99.987977
10	3	126.589656	98.546278
11	0	133.964361	106.726585
11	1	136.646197	107.705882
11	2	126.205601	99.238502
11	3	126.996756	97.375737
12	0	132.959015	106.558280
12	1	134.330077	106.704169
12	2	125.915959	98.463357
12	3	126.123101	97.076770
13	0	133.048105	106.685689
13	1	136.299291	106.279582
13	2	125.835178	98.896150
13	3	126.194304	97.203720
14	0	133.703227	105.950006
14	1	135.986295	105.813500
14	2	126.403224	98.717960
14	3	126.092139	96.566052
15	0	132.955464	105.667547
15	1	135.869365	105.792329
15	2	125.973637	98.328545
15	3	126.059664	97.076305
16	0	131.460506	105.226026
16	1	132.090165	105.339795
16	2	122.886652	98.645527
16	3	123.354886	96.894878
17	0	133.140581	104.090347
17	1	133.565675	104.190864
17	2	125.417138	97.660710
17	3	125.356411	95.873112
18	0	133.600368	103.160075
18	1	135.856676	104.296912
18	2	126.112795	97.547571
18	3	125.945975	95.318486
19	0	132.976649	103.616448
19	1	135.107583	103.797993
19	2	126.075459	97.534219
19	3	125.885309	95.810139
20	0	133.494722	103.498501
20	1	134.947373	103.256619
20	2	125.567374	96.620327
20	3	125.493971	95.615079
21	0	132.527127	102.973973
21	1	135.074019	102.373961
21	2	125.535568	96.630133
21	3	125.691424	95.301032
22	0	132.502539	102.411006
22	1	135.422573	101.910707
22	2	125.666526	96.044992
22	3	125.819743	94.383334
23	0	132.449367	101.882233
23	1	135.682460	101.772053
23	2	125.795573	96.111875
23	3	125.521095	95.315131
24	0	130.763617	102.004175
24	1	130.938481	101.395716
24	2	122.636397	95.502703
24	3	122.879390	94.500119
25	0	132.185299	100.672326
25	1	135.359342	98.835273
25	2	125.878221	94.945207
25	3	125.970109	93.929736
26	0	133.078716	99.394705
26	1	135.034985	98.994740
26	2	126.082671	95.159389
26	3	125.315602	94.338287
27	0	132.205401	98.867078
27	1	135.501574	99.087457
27	2	126.311166	94.428478
27	3	125.729439	93.694780
28	0	132.318736	99.374078
28	1	135.163948	98.771952
28	2	125.859892	94.483503
28	3	125.478623	92.777989
29	0	132.171505	98.467997
29	1	135.122144	95.573275
29	2	125.743401	93.652775
29	3	125.444970	92.846163
30	0	132.086079	97.438556
30	1	133.656595	96.989991
30	2	125.778949	92.429553
30	3	125.899482	92.325336
31	0	132.678740	97.424386
31	1	134.758716	96.815284
31	2	125.762301	93.338614
31	3	125.573557	91.739815
32	0	131.868689	113.587094
32	1	132.964341	114.999695
32	2	124.194693	103.707173
32	3	124.590562	104.819504
33	0	133.710318	113.433407
33	1	134.267845	112.931922
33	2	126.393044	103.221917
33	3	126.797819	104.121306
34	0	133.674147	112.695508
34	1	135.083075	113.550164
34	2	126.349859	102.986173
34	3	126.679582	104.076524
35	0	133.615768	111.474273
35	1	134.190102	112.116378
35	2	125.867309	102.583584
35	3	126.385662	103.758211
36	0	133.542011	111.440807
36	1	134.275589	112.279415
36	2	125.913577	102.383939
36	3	126.288680	63.184841
37	0	133.303059	111.745588
37	1	133.983739	111.770311
37	2	125.095706	102.321321
37	3	125.410023	103.213320
38	0	133.170035	110.705724
38	1	134.984481	110.821466
38	2	125.951274	101.415374
38	3	126.308558	102.641128
39	0	132.776581	110.710405
39	1	133.678224	110.462423
39	2	124.800567	101.478281
