core	gpu	HostToDevice	DeviceToHost
0	0	111.157465	73.507049
0	1	110.404694	73.248310
1	0	111.826080	74.706939
1	1	111.751080	74.723633
2	0	111.836534	74.920099
2	1	111.583676	74.963660
3	0	111.756837	73.481637
3	1	112.047662	74.514382
4	0	109.400363	73.039917
4	1	108.771153	73.734724
5	0	109.022256	73.670023
5	1	108.919503	74.035120
6	0	109.713841	73.942159
6	1	109.196066	74.086104
7	0	109.855290	74.491260
7	1	109.115640	74.442140
8	0	106.795391	77.219695
8	1	106.297248	75.545498
9	0	106.879642	73.228874
9	1	106.583762	72.376158
10	0	111.904995	73.767954
10	1	111.644680	73.582341
11	0	112.129877	73.097403
11	1	111.794240	73.959992
12	0	111.931515	74.530800
12	1	111.490955	74.446626
13	0	111.897932	74.325516
13	1	111.478914	73.911964
14	0	109.110822	73.762445
14	1	108.769951	73.505749
15	0	109.223628	72.247158
15	1	108.698606	72.968716
16	0	110.087034	73.919237
16	1	108.785833	73.572724
17	0	110.013951	72.804396
17	1	109.272096	72.875243
18	0	107.079440	73.382495
18	1	106.217984	73.069612
19	0	106.921425	73.511566
19	1	106.246021	73.209273
20	0	111.474312	85.025631
20	1	111.041440	82.215376
21	0	111.311007	85.665212
21	1	110.883626	82.817825
22	0	110.238163	85.066870
22	1	109.878092	82.081968
23	0	110.457551	85.022469
23	1	110.016372	81.931452
24	0	109.284075	84.857363
24	1	108.639524	81.978311
25	0	109.205252	84.867242
25	1	108.670349	81.804610
26	0	107.844181	83.967000
26	1	107.652585	80.981721
27	0	108.004081	84.096111
27	1	107.777929	81.058595
28	0	108.411477	85.261316
28	1	107.940691	82.116575
29	0	108.678320	85.178921
29	1	108.210396	82.250761
30	0	111.283272	85.844831
30	1	110.890716	82.971392
31	0	111.572763	86.007367
31	1	110.984057	82.929129
32	0	110.737756	85.170680
32	1	110.030936	82.143757
33	0	110.591198	85.162157
33	1	110.060662	82.204699
34	0	109.304158	84.790235
34	1	108.051071	81.825078
35	0	109.210041	84.786360
35	1	108.706046	81.837602
36	0	108.019740	84.072382
36	1	107.818492	81.095632
37	0	108.120801	84.167634
37	1	107.695772	81.275879
38	0	108.558000	85.094547
38	1	107.949320	82.076547
39	0	108.562309	85.169932
39	1	108.254325	82.222600
40	0	108.149505	84.200677
40	1	108.481343	81.246195
41	0	108.924267	84.140524
41	1	108.414342	81.247742
42	0	108.919522	84.249503
42	1	108.567797	81.171848
43	0	108.656143	84.150281
43	1	108.450111	81.208102
44	0	105.859558	83.092161
44	1	105.522608	80.143908
45	0	106.105633	83.082161
45	1	105.902089	80.048129
46	0	108.930626	85.040872
46	1	108.496349	81.885956
47	0	109.093692	84.979569
47	1	108.508195	81.942718
48	0	106.286551	83.898677
48	1	105.900599	80.943672
49	0	106.300161	83.801706
49	1	105.823815	80.979508
50	0	108.991918	84.240143
50	1	108.495944	81.199685
51	0	108.818794	84.145513
51	1	108.530295	81.238450
52	0	108.666843	84.140291
52	1	108.469134	81.241554
53	0	108.718807	84.075961
53	1	108.349258	81.263247
54	0	105.987253	82.940661
54	1	105.365092	80.071574
55	0	105.843819	83.031458
55	1	105.488605	80.112257
56	0	108.730665	84.825702
56	1	108.293707	82.099826
57	0	108.719952	84.862201
57	1	108.486087	82.032720
58	0	106.349497	83.740708
58	1	105.775036	80.888960
59	0	106.020367	83.750154
59	1	105.777239	80.827951
60	0	107.485960	82.955906
60	1	106.990527	80.488313
61	0	107.394227	83.384146
61	1	106.917656	80.499165
62	0	105.633675	82.491831
62	1	105.213735	79.749129
63	0	105.679375	82.557667
63	1	105.462444	79.804628
64	0	107.369832	84.191373
64	1	107.294428	81.165414
65	0	107.537198	84.099957
65	1	106.995893	81.096958
66	0	106.359801	83.558572
66	1	105.939673	80.455701
67	0	106.352519	83.358221
67	1	106.061076	80.544207
68	0	107.608275	84.551804
68	1	106.700562	81.434219
69	0	107.591958	84.415790
69	1	106.747510	81.422657
70	0	107.445738	83.308102
70	1	106.980172	80.589076
71	0	107.639350	83.433889
71	1	106.959861	80.497869
72	0	106.020402	82.540280
72	1	105.324516	79.689798
73	0	105.975073	82.572526
73	1	105.249413	79.592971
74	0	107.825903	84.028549
74	1	107.302542	81.182679
75	0	107.784554	84.115144
75	1	107.344746	81.318488
76	0	106.337729	83.303949
76	1	105.935184	80.521579
77	0	106.666987	83.351045
77	1	105.891891	80.419246
78	0	107.662708	84.510405
78	1	106.943704	81.552328
79	0	107.381109	84.511532
79	1	106.824874	81.430230
