core	gpu	HostToDevice	DeviceToHost
0	0	127.064293	112.781041
0	1	123.955050	110.640278
1	0	129.071966	113.049460
1	1	125.821678	110.612362
2	0	128.922768	114.202551
2	1	157.218268	138.239043
3	0	137.523072	120.175098
3	1	157.228934	139.274679
4	0	137.486240	121.187771
4	1	157.259821	139.563921
5	0	137.433510	121.567605
5	1	171.997501	156.645962
6	0	137.340378	120.366826
6	1	171.776340	156.254989
7	0	137.468334	122.895850
7	1	171.719017	156.828397
8	0	154.333730	139.159596
8	1	168.792664	156.484890
9	0	157.116199	139.166197
9	1	171.925150	156.749187
10	0	157.055053	135.815466
10	1	171.817960	156.829358
11	0	157.348566	138.091073
11	1	171.910225	156.613936
12	0	157.293775	139.762354
12	1	171.625899	156.852318
13	0	172.036268	154.613974
13	1	171.793225	156.735859
14	0	171.929032	154.299962
14	1	171.816899	156.522608
15	0	171.838732	154.740213
15	1	172.230224	163.783406
16	0	168.058289	154.593906
16	1	168.952456	163.520707
17	0	171.749726	154.679892
17	1	172.333982	163.482341
18	0	171.639807	154.711057
18	1	172.107972	163.603437
19	0	171.703114	154.386515
19	1	172.426662	163.144629
20	0	172.031363	157.029220
20	1	172.303110	163.616034
21	0	172.223221	156.944146
21	1	172.527586	163.553154
22	0	172.120662	156.619650
22	1	172.726616	166.211840
23	0	172.099914	157.136155
23	1	172.630631	166.527951
24	0	168.583483	156.867166
24	1	169.633704	166.512864
25	0	172.195356	157.025789
25	1	172.724564	166.609716
26	0	171.289331	156.882017
26	1	172.352881	166.576957
27	0	171.935918	156.676543
27	1	172.402774	166.313833
28	0	172.098988	156.989561
28	1	172.881144	166.657250
29	0	171.958799	156.928320
29	1	172.541501	166.460820
30	0	171.668322	156.685677
30	1	172.690475	166.364011
31	0	172.087876	157.305535
31	1	172.789794	169.264619
32	0	168.632951	156.786303
32	1	169.411934	168.878898
33	0	172.086903	156.884403
33	1	172.473621	168.954509
34	0	171.939939	157.019236
34	1	172.570642	169.112730
35	0	172.038119	156.692164
35	1	172.968286	168.954420
36	0	171.842748	156.860588
36	1	172.621546	168.844483
37	0	172.214318	155.330710
37	1	173.112189	168.765853
38	0	171.776294	154.254453
38	1	173.156522	171.087602
39	0	171.044459	152.259611
39	1	173.182495	171.626912
40	0	166.907611	151.879851
40	1	170.158078	164.282055
41	0	170.318517	151.929491
41	1	173.440773	171.399582
42	0	170.010547	152.010080
42	1	173.200737	171.388835
43	0	171.815099	154.157161
43	1	173.449897	171.350452
44	0	171.690209	154.141893
44	1	173.233807	171.228299
45	0	171.704036	154.396838
45	1	173.694540	173.485134
46	0	171.861448	154.221798
46	1	173.600539	173.764565
47	0	172.130759	154.690403
47	1	173.882281	173.942050
48	0	168.571087	154.436875
48	1	170.301013	173.833512
49	0	172.105842	154.503351
49	1	173.504428	174.000913
50	0	172.095886	156.886250
50	1	173.552870	173.859925
51	0	171.826868	156.816093
51	1	173.595356	173.825292
52	0	171.767298	156.776312
52	1	173.421493	173.844615
53	0	172.041173	156.701262
53	1	173.562195	173.679401
54	0	172.100794	156.548926
54	1	173.556920	173.493274
55	0	171.884401	156.958973
55	1	173.612696	173.902467
56	0	168.847246	156.826666
56	1	170.213773	173.729168
57	0	172.095978	157.098796
57	1	173.693644	174.089615
58	0	172.140673	156.900297
58	1	173.448816	173.693644
59	0	172.160503	159.022047
59	1	173.546890	173.509558
60	0	171.187743	158.994101
60	1	172.755727	173.452767
61	0	170.625056	158.937171
61	1	172.127748	166.193356
62	0	171.098448	158.459402
62	1	172.618518	165.779802
63	0	171.170105	158.972802
63	1	172.769632	169.000578
64	0	167.763095	159.211687
64	1	169.366538	168.741900
65	0	171.652520	159.244745
65	1	173.147381	168.998524
66	0	171.312820	159.388632
66	1	172.175471	169.033270
67	0	171.399720	158.821974
67	1	172.802772	168.588193
68	0	171.279561	159.431499
68	1	172.695697	169.151147
69	0	171.654363	159.214223
69	1	172.907128	168.719022
70	0	171.049216	158.816966
70	1	172.624528	168.426073
71	0	171.214503	159.204118
71	1	172.709547	168.903782
72	0	167.811202	158.839722
72	1	169.570160	170.948187
73	0	171.307910	158.645183
73	1	172.712531	170.999144
74	0	171.425398	159.399118
74	1	172.703671	171.579492
75	0	171.498387	159.090077
75	1	172.731654	171.113279
76	0	171.585338	159.075557
76	1	172.738558	171.088517
77	0	171.371983	158.812707
77	1	172.906146	170.944349
78	0	171.433301	154.831009
78	1	173.107129	171.031607
79	0	170.869777	154.524926
79	1	173.132478	174.115869
