core	gpu	HostToDevice	DeviceToHost
0	0	24.912984	24.572200
0	1	24.857734	25.163049
0	2	24.301743	21.848881
0	3	24.259439	22.445391
1	0	25.037568	25.447891
1	1	24.988693	25.459534
1	2	24.551667	22.224062
1	3	24.347707	22.459310
2	0	25.000832	25.457958
2	1	25.048390	25.469320
2	2	24.573012	22.223013
2	3	24.350378	22.454726
3	0	25.004089	25.452849
3	1	24.990731	25.452841
3	2	24.541286	22.225212
3	3	24.309320	22.460084
4	0	24.991571	25.441526
4	1	24.985864	25.469478
4	2	24.547709	22.228526
4	3	24.273994	22.455591
5	0	24.945766	25.437136
5	1	24.988509	25.459957
5	2	24.570152	22.228065
5	3	24.302302	22.453042
6	0	25.018141	25.459394
6	1	24.975232	25.458830
6	2	24.561895	22.224371
6	3	24.310749	22.460762
7	0	25.027454	25.445115
7	1	24.968001	25.451049
7	2	24.554322	22.224498
7	3	24.307073	22.451041
8	0	25.021939	25.460148
8	1	24.967003	25.458912
8	2	24.559717	22.228456
8	3	24.298893	22.459865
9	0	25.013063	25.465227
9	1	25.037352	25.469353
9	2	24.531985	22.226888
9	3	24.305168	22.462377
10	0	25.007930	25.434023
10	1	24.970627	25.445148
10	2	24.538881	22.225111
10	3	24.332358	22.448809
11	0	25.009964	25.473414
11	1	25.020889	25.483468
11	2	24.523906	22.226686
11	3	24.295893	22.462435
12	0	25.007618	25.459593
12	1	25.037994	25.493380
12	2	24.583736	22.228317
12	3	24.308390	22.456714
13	0	25.011566	25.457344
13	1	24.971816	25.459609
13	2	24.396055	22.225206
13	3	24.291678	22.458651
14	0	25.017492	25.465742
14	1	24.958366	25.479720
14	2	24.569001	22.219966
14	3	24.314291	22.452255
15	0	24.979193	25.431804
15	1	24.973963	25.446009
15	2	24.538858	22.224517
15	3	24.307890	22.458929
16	0	25.022708	25.595218
16	1	25.072087	25.592199
16	2	24.604486	23.380499
16	3	24.025658	23.379379
17	0	25.023213	25.592090
17	1	25.018349	25.595486
17	2	24.572733	23.382646
17	3	24.020930	23.375888
18	0	25.024159	25.591579
18	1	25.051530	25.595545
18	2	24.599574	23.379127
18	3	24.030432	23.373546
19	0	25.033958	25.588763
19	1	25.067727	25.591143
19	2	24.594378	23.380135
19	3	23.994054	23.375762
20	0	25.031383	25.592183
20	1	25.045996	25.592937
20	2	24.607144	23.376811
20	3	24.054300	23.377189
21	0	25.039832	25.593541
21	1	25.044310	25.594715
21	2	24.604772	23.381604
21	3	24.053715	23.375238
22	0	24.959099	25.592493
22	1	24.985696	25.599663
22	2	24.586390	23.380484
22	3	24.027830	23.382702
23	0	24.991563	25.593114
23	1	25.028657	25.602683
23	2	24.612749	23.381289
23	3	24.014366	23.384039
24	0	24.975799	25.589869
24	1	24.991619	25.598430
24	2	24.583125	23.379820
24	3	23.993803	23.381632
25	0	25.045322	25.590439
25	1	24.995161	24.430110
25	2	24.601054	23.384389
25	3	23.997747	23.383297
26	0	25.032089	25.583718
26	1	25.059927	25.590824
26	2	24.565579	23.378973
26	3	24.031444	23.381519
27	0	25.042263	25.594589
27	1	25.091792	25.600661
27	2	24.561833	23.382626
27	3	24.004294	23.378161
28	0	25.003713	25.590724
28	1	25.029587	25.597122
28	2	24.557077	23.383228
28	3	24.010543	23.378805
29	0	25.022676	25.591772
29	1	25.004473	25.599546
29	2	24.573073	23.382367
29	3	24.055470	23.380876
30	0	25.008251	25.586826
30	1	25.050269	25.599109
30	2	24.602471	23.380275
30	3	24.015673	23.383815
31	0	24.992818	25.592191
31	1	25.019198	25.597566
31	2	24.569835	23.381884
31	3	24.012941	23.381478
32	0	25.018133	25.603589
32	1	24.984186	25.605158
32	2	24.515472	23.400920
32	3	24.792662	23.396014
33	0	25.004441	25.600309
33	1	25.022444	25.606661
33	2	24.493045	23.400738
33	3	24.779805	23.401396
34	0	25.014496	25.601341
34	1	25.000352	25.604764
34	2	24.525993	23.399693
34	3	24.742386	23.399910
35	0	24.963390	25.601953
35	1	25.005545	25.605159
35	2	24.474599	23.401403
35	3	24.778815	23.397955
36	0	24.994969	25.595520
36	1	24.991259	25.605259
36	2	24.500181	23.400275
36	3	24.781809	23.397514
37	0	25.000376	25.599655
37	1	24.999144	25.607769
37	2	24.466819	23.399805
37	3	24.792882	23.400002
38	0	24.994769	25.595855
38	1	24.994609	25.607945
38	2	24.515880	23.401025
38	3	24.745732	23.403521
39	0	24.963078	25.601609
39	1	25.020032	25.605847
39	2	24.542026	23.404719
39	3	24.718087	23.403387
40	0	24.983315	25.594463
40	1	25.018157	25.606921
40	2	24.506098	23.403654
40	3	24.799509	23.401936
41	0	24.935583	25.596677
41	1	24.986455	25.608474
41	2	24.512842	23.402027
41	3	24.766819	23.402378
42	0	24.989444	25.595973
42	1	24.975297	25.604084
42	2	24.544902	23.403058
42	3	24.794102	23.404277
43	0	24.948419	25.596736
43	1	24.982764	25.606417
43	2	24.497377	23.403604
43	3	24.754192	23.405112
44	0	25.040008	25.597121
44	1	25.027285	25.604202
44	2	24.521105	23.400023
44	3	24.749401	23.401964
45	0	24.983139	25.596803
45	1	24.985105	25.606728
45	2	24.569047	23.398817
45	3	24.801438	23.401670
46	0	25.000208	25.595151
46	1	24.990827	25.603681
46	2	24.545936	23.401376
46	3	24.789995	23.401543
47	0	24.942716	25.599084
47	1	24.994065	25.608927
47	2	24.542311	23.398866
47	3	24.799840	23.403149
48	0	25.007682	25.601223
48	1	24.984418	25.609515
48	2	24.841104	23.398866
48	3	24.843640	23.144329
49	0	25.005545	25.595528
49	1	24.975536	25.605394
49	2	24.862718	23.397836
49	3	24.847259	23.144980
50	0	24.996208	25.600602
50	1	25.026196	25.605671
50	2	24.880019	23.393457
50	3	24.859656	23.141517
51	0	24.978131	25.602230
51	1	24.992266	25.605729
51	2	24.858201	23.383213
51	3	24.938050	23.146207
52	0	24.938909	25.594815
52	1	24.952530	25.609137
52	2	24.834053	23.377427
52	3	24.866778	23.140401
53	0	24.999136	25.603984
53	1	24.930904	25.603766
53	2	24.894765	23.398530
53	3	24.857086	23.140256
54	0	24.976063	25.597281
54	1	24.957042	25.608071
54	2	24.838436	23.387434
54	3	24.905510	23.130891
55	0	24.995441	25.596803
55	1	25.006858	25.604789
55	2	24.870744	23.388260
