core	gpu	HostToDevice	DeviceToHost
0	0	16.734110	14.821913
0	1	17.194818	15.142382
0	2	17.876854	15.871013
0	3	18.520055	16.368798
1	0	21.364682	16.448089
1	1	21.371414	16.515517
1	2	21.212097	16.347425
1	3	21.287373	16.394850
2	0	21.173097	16.375496
2	1	21.216336	16.360462
2	2	21.102637	16.289725
2	3	21.204175	16.270510
3	0	21.330522	16.114786
3	1	21.161168	16.065583
3	2	21.125827	16.039618
3	3	21.063856	16.089935
4	0	20.811401	16.014262
4	1	20.831112	16.049951
4	2	20.482971	15.977371
4	3	20.829690	15.960659
5	0	20.754610	16.004289
5	1	20.623643	16.041304
5	2	20.676391	15.904098
5	3	20.505336	15.988672
6	0	20.583651	15.808326
6	1	20.734868	15.837039
6	2	20.513605	15.770951
6	3	20.737333	15.802187
7	0	20.651905	15.695416
7	1	20.474725	15.702886
7	2	20.451228	15.693398
7	3	20.712702	15.618403
8	0	20.636020	15.592070
8	1	20.565445	15.545309
8	2	20.610933	15.628701
8	3	20.691111	15.569299
9	0	20.386675	15.457808
9	1	20.626431	15.402416
9	2	20.653652	15.427333
9	3	20.637067	15.442067
10	0	20.336409	15.389698
10	1	20.619115	15.379228
10	2	20.518433	15.381262
10	3	20.624340	15.362969
11	0	20.375956	15.224724
11	1	20.409171	15.298278
11	2	20.507574	15.267663
11	3	20.491739	15.217132
12	0	20.282346	15.081487
12	1	20.327096	15.092302
12	2	20.105958	14.993590
12	3	20.444891	15.141349
13	0	20.262819	15.097715
13	1	20.275271	15.036808
13	2	20.281167	15.085122
13	3	20.325912	15.089597
14	0	20.303599	15.141255
14	1	20.167744	15.029125
14	2	20.107284	15.075248
14	3	20.263323	15.049692
15	0	20.040931	14.942384
15	1	20.179412	14.878821
15	2	20.177578	14.895615
15	3	20.253741	14.930322
16	0	17.211304	14.759458
16	1	17.060840	14.806452
16	2	16.920135	14.918006
16	3	17.053094	14.830286
17	0	17.229888	14.666448
17	1	17.049164	14.745997
17	2	17.190944	14.689922
17	3	17.225512	14.711343
18	0	17.618069	14.583831
18	1	17.275975	14.591502
18	2	17.209606	14.639537
18	3	17.232321	14.605294
19	0	17.300337	14.623577
19	1	17.002265	14.503001
19	2	17.108423	14.629887
19	3	17.194334	14.490262
20	0	17.015181	14.388043
20	1	17.161941	14.270970
20	2	17.266445	14.466992
20	3	17.070025	14.439014
21	0	17.047617	14.243578
21	1	16.792466	13.818942
21	2	17.160011	14.116500
21	3	17.027760	14.111359
22	0	17.001199	14.058136
22	1	17.071219	12.175132
22	2	17.088186	14.024945
22	3	16.997412	14.028732
23	0	17.019095	13.990306
23	1	16.991970	12.106967
23	2	17.148922	13.965097
23	3	17.130872	13.911939
24	0	16.929756	13.902670
24	1	16.908885	12.166820
24	2	16.872892	13.890252
24	3	17.041072	13.808625
25	0	16.880825	13.728800
25	1	17.003686	12.074036
25	2	17.031562	13.809327
25	3	16.727002	13.733434
26	0	16.961277	13.639674
26	1	16.911110	11.950045
26	2	17.116820	13.825124
26	3	17.053571	13.711375
27	0	17.067162	13.623919
27	1	16.975429	11.906337
27	2	17.084718	13.668769
27	3	17.053214	13.750451
28	0	17.024792	13.777610
28	1	16.993508	11.783019
28	2	17.165923	13.534419
28	3	16.902914	13.702909
29	0	17.003212	13.644172
29	1	16.911696	11.572675
29	2	17.166527	13.494471
29	3	17.001910	13.580797
30	0	16.886079	13.600997
30	1	16.902446	11.536419
30	2	17.039883	13.410341
30	3	16.984168	13.515763
31	0	16.980979	13.491116
31	1	17.053213	11.623696
31	2	17.118020	13.397757
31	3	16.940211	13.489178
32	0	17.993723	13.550119
32	1	18.003276	11.438480
32	2	18.114279	13.450311
32	3	18.001683	13.494621
33	0	17.909771	13.379915
33	1	17.937140	11.495083
33	2	18.092264	13.501860
33	3	17.838974	13.462549
34	0	17.933978	13.374857
34	1	17.826729	11.377763
34	2	17.634358	13.325726
34	3	17.645574	13.382922
35	0	17.841842	13.311267
35	1	17.921998	11.417831
35	2	17.849146	13.351013
35	3	17.892183	13.347071
36	0	17.623792	13.405040
36	1	17.516062	11.232965
36	2	17.745744	13.311776
36	3	17.792950	13.309671
37	0	17.623537	13.251875
37	1	17.614510	11.102348
37	2	17.584061	13.299013
37	3	17.427040	13.281939
38	0	17.220530	13.257848
38	1	17.839886	11.076156
38	2	17.918841	13.226389
38	3	17.839234	13.267070
39	0	17.864166	13.190944
39	1	17.790357	11.225166
39	2	18.118446	13.224741
39	3	17.677899	13.273779
40	0	17.675723	13.297782
40	1	17.740328	11.170468
40	2	17.647231	13.147257
40	3	17.863120	13.233845
41	0	17.816712	13.091703
41	1	18.003542	11.197673
41	2	17.939645	13.054811
41	3	17.864820	13.133042
42	0	18.000489	13.115968
42	1	17.869919	11.004017
42	2	18.077661	13.107799
42	3	17.819703	13.139898
43	0	18.024809	13.092826
43	1	17.928315	10.923274
43	2	18.173203	13.024098
43	3	18.008189	13.145983
44	0	17.784396	13.149523
44	1	17.870312	11.083849
44	2	17.931607	13.081462
44	3	17.505010	13.118928
45	0	17.928184	13.045324
45	1	17.806446	10.902591
45	2	18.018024	13.049577
45	3	17.774944	13.109066
