core	gpu	HostToDevice	DeviceToHost
0	0	0.000562	0.001025
0	1	0.000562	0.000978
0	2	0.000589	0.000964
0	3	0.000586	0.000935
1	0	0.000551	0.001020
1	1	0.000551	0.000975
1	2	0.000576	0.000960
1	3	0.000577	0.000932
2	0	0.000558	0.001020
2	1	0.000553	0.000977
2	2	0.000581	0.000964
2	3	0.000578	0.000935
3	0	0.000554	0.001023
3	1	0.000557	0.000976
3	2	0.000582	0.000961
3	3	0.000576	0.000933
4	0	0.000564	0.001024
4	1	0.000558	0.000977
4	2	0.000581	0.000961
4	3	0.000579	0.000930
5	0	0.000555	0.001021
5	1	0.000552	0.000975
5	2	0.000580	0.000961
5	3	0.000579	0.000936
6	0	0.000552	0.001021
6	1	0.000550	0.000975
6	2	0.000579	0.000963
6	3	0.000577	0.000934
7	0	0.000555	0.001021
7	1	0.000557	0.000978
7	2	0.000578	0.000966
7	3	0.000579	0.000935
8	0	0.000561	0.001016
8	1	0.000554	0.000975
8	2	0.000581	0.000957
8	3	0.000578	0.000933
9	0	0.000553	0.001020
9	1	0.000556	0.000979
9	2	0.000579	0.000961
9	3	0.000576	0.000930
10	0	0.000554	0.001020
10	1	0.000556	0.000980
10	2	0.000581	0.000961
10	3	0.000576	0.000931
11	0	0.000551	0.001019
11	1	0.000552	0.000979
11	2	0.000578	0.000961
11	3	0.000579	0.000935
12	0	0.000554	0.001021
12	1	0.000557	0.000979
12	2	0.000582	0.000963
12	3	0.000578	0.000933
13	0	0.000556	0.001021
13	1	0.000553	0.000976
13	2	0.000579	0.000960
13	3	0.000575	0.000932
14	0	0.000550	0.001023
14	1	0.000546	0.000976
14	2	0.000578	0.000959
14	3	0.000575	0.000933
15	0	0.000553	0.001021
15	1	0.000551	0.000977
15	2	0.000581	0.000962
15	3	0.000576	0.000931
16	0	0.000549	0.000870
16	1	0.000545	0.000819
16	2	0.000576	0.000810
16	3	0.000572	0.000767
17	0	0.000543	0.000872
17	1	0.000547	0.000819
17	2	0.000576	0.000811
17	3	0.000570	0.000767
18	0	0.000546	0.000877
18	1	0.000548	0.000825
18	2	0.000577	0.000815
18	3	0.000569	0.000773
19	0	0.000545	0.000874
19	1	0.000548	0.000825
19	2	0.000577	0.000815
19	3	0.000573	0.000771
20	0	0.000546	0.000871
20	1	0.000548	0.000819
20	2	0.000579	0.000812
20	3	0.000571	0.000768
21	0	0.000545	0.000873
21	1	0.000550	0.000821
21	2	0.000576	0.000812
21	3	0.000571	0.000768
22	0	0.000545	0.000882
22	1	0.000548	0.000826
22	2	0.000575	0.000815
22	3	0.000573	0.000773
23	0	0.000548	0.000875
23	1	0.000544	0.000824
23	2	0.000575	0.000813
23	3	0.000570	0.000769
24	0	0.000552	0.000880
24	1	0.000547	0.000831
24	2	0.000578	0.000819
24	3	0.000578	0.000778
25	0	0.000553	0.000880
25	1	0.000550	0.000824
25	2	0.000576	0.000814
25	3	0.000573	0.000770
26	0	0.000548	0.000879
26	1	0.000549	0.000831
26	2	0.000575	0.000819
26	3	0.000575	0.000777
27	0	0.000547	0.000877
27	1	0.000550	0.000829
27	2	0.000576	0.000816
27	3	0.000573	0.000772
28	0	0.000552	0.000874
28	1	0.000552	0.000825
28	2	0.000577	0.000817
28	3	0.000577	0.000772
29	0	0.000547	0.000874
29	1	0.000545	0.000823
29	2	0.000574	0.000816
29	3	0.000571	0.000771
30	0	0.000546	0.000880
30	1	0.000548	0.000829
30	2	0.000576	0.000818
30	3	0.000572	0.000776
31	0	0.000544	0.000877
31	1	0.000549	0.000827
31	2	0.000578	0.000815
31	3	0.000573	0.000773
32	0	0.000548	0.000909
32	1	0.000543	0.000861
32	2	0.000573	0.000847
32	3	0.000571	0.000800
33	0	0.000546	0.000910
33	1	0.000545	0.000864
33	2	0.000570	0.000850
33	3	0.000574	0.000807
34	0	0.000546	0.000913
34	1	0.000547	0.000873
34	2	0.000575	0.000853
34	3	0.000574	0.000807
35	0	0.000550	0.000914
35	1	0.000544	0.000869
35	2	0.000574	0.000852
35	3	0.000570	0.000808
36	0	0.000551	0.000911
36	1	0.000547	0.000864
36	2	0.000572	0.000849
36	3	0.000569	0.000802
37	0	0.000547	0.000913
37	1	0.000543	0.000865
37	2	0.000576	0.000850
37	3	0.000570	0.000805
38	0	0.000547	0.000913
38	1	0.000543	0.000866
38	2	0.000575	0.000855
38	3	0.000574	0.000809
39	0	0.000544	0.000913
39	1	0.000543	0.000866
39	2	0.000573	0.000852
39	3	0.000571	0.000807
40	0	0.000548	0.000910
40	1	0.000548	0.000863
40	2	0.000572	0.000848
40	3	0.000570	0.000803
41	0	0.000545	0.000909
41	1	0.000543	0.000864
41	2	0.000575	0.000850
41	3	0.000570	0.000804
