core	gpu	HostToDevice	DeviceToHost
0	0	9.289978	21.161191
0	1	17.783570	20.204045
0	2	17.414127	20.293789
0	3	17.363812	21.010381
1	0	17.286587	21.150879
1	1	17.345308	20.210317
1	2	17.479584	20.252754
1	3	17.830245	21.018860
2	0	17.353013	21.177826
2	1	17.421506	20.225490
2	2	17.006248	20.308560
2	3	17.772242	20.908045
3	0	17.063821	21.170365
3	1	17.569209	20.206658
3	2	17.031829	20.301699
3	3	17.890266	21.051143
4	0	17.532147	21.174956
4	1	17.864084	20.221826
4	2	17.928035	20.299062
4	3	18.080724	21.038104
5	0	17.268246	21.153169
5	1	17.417233	20.230728
5	2	17.611587	20.271147
5	3	17.998249	21.043771
6	0	17.503473	21.158898
6	1	17.937915	20.256956
6	2	18.133182	20.279566
6	3	16.951267	20.990623
7	0	17.809109	21.164057
7	1	18.010697	20.245931
7	2	17.499160	20.266940
7	3	18.211380	20.978223
8	0	18.109643	21.161191
8	1	16.706227	20.260633
8	2	16.905782	20.301699
8	3	17.348389	21.036971
9	0	16.851812	21.158325
9	1	17.167688	20.261158
9	2	17.188841	20.285885
9	3	17.538051	21.029043
10	0	17.031086	21.171513
10	1	17.274737	20.259057
10	2	17.396290	20.293789
10	3	17.740763	20.969776
11	0	17.283527	21.173234
11	1	17.428890	20.251180
11	2	17.421506	20.319652
11	3	17.684942	21.018860
12	0	17.628277	21.165777
12	1	18.061914	20.260108
12	2	17.847760	20.309088
12	3	18.296681	21.115435
13	0	17.501512	21.160617
13	1	17.787214	20.256430
13	2	17.513282	20.297480
13	3	17.886579	21.167497
14	0	17.260997	21.125142
14	1	17.474501	20.259057
14	2	17.426946	20.313840
14	3	17.791264	21.002473
15	0	17.298835	21.169792
15	1	17.531360	20.265889
15	2	17.406368	20.296425
15	3	17.798155	21.160044
16	0	17.978782	21.157179
16	1	18.272717	20.262209
16	2	18.236461	20.306449
16	3	16.952003	21.240009
17	0	17.863267	21.172087
17	1	18.180866	20.257481
17	2	18.018174	20.290626
17	3	18.313838	21.125142
18	0	17.777904	21.170939
18	1	17.839202	20.253805
18	2	17.770221	20.292735
18	3	17.891904	21.245208
19	0	17.448353	21.165204
19	1	17.601667	20.259582
19	2	17.771029	20.242259
19	3	18.118463	21.245785
20	0	18.167337	21.166351
20	1	16.752798	20.260633
20	2	17.262141	20.306976
20	3	17.547899	21.227313
21	0	17.495241	21.160044
21	1	17.329917	20.256956
21	2	17.398227	20.308560
21	3	17.802616	21.241164
22	0	17.760525	21.189313
22	1	17.978782	20.216593
22	2	18.197806	20.258007
22	3	16.983327	21.282827
23	0	18.048561	21.201964
23	1	18.008206	20.227585
23	2	17.959770	20.263261
23	3	16.953106	21.193913
24	0	17.162408	21.191038
24	1	17.690549	20.226538
24	2	17.637829	20.267466
24	3	17.646594	21.234813
25	0	17.439395	21.203691
25	1	17.442120	20.228109
25	2	17.693754	20.260108
25	3	18.250946	21.281088
26	0	17.602857	21.131999
26	1	17.658161	20.221826
26	2	17.731100	20.253280
26	3	18.198654	21.200239
27	0	17.464735	21.214055
27	1	17.860817	20.222873
27	2	17.868579	20.264312
27	3	18.127712	21.277610
28	0	16.819885	21.133142
28	1	17.222565	20.221826
28	2	17.487017	20.265363
28	3	18.000323	21.261396
29	0	17.598099	21.209447
29	1	17.833908	20.230204
29	2	17.746002	20.261684
29	3	18.145817	21.273554
30	0	17.402878	21.155460
30	1	17.474892	20.213454
30	2	17.817639	20.220779
30	3	17.616352	21.256769
31	0	17.445236	21.193912
31	1	17.697361	20.200911
31	2	18.116782	20.217640
31	3	16.763942	21.241164
32	0	17.590570	21.174382
32	1	18.072777	20.213978
32	2	18.006546	20.260108
32	3	18.471451	21.220394
33	0	17.653771	21.178974
33	1	17.875120	20.215547
33	2	17.725468	20.258532
33	3	17.839609	21.248674
34	0	17.577510	21.133142
34	1	17.543170	20.216593
34	2	17.800588	20.248031
34	3	18.051063	21.235968
35	0	17.225983	21.211175
35	1	17.449132	20.231252
35	2	17.763352	20.259057
35	3	17.585027	21.271816
36	0	16.806497	21.180122
36	1	17.128168	20.215024
36	2	17.556575	20.273778
36	3	17.847352	21.266605
37	0	17.490541	21.203115
37	1	17.512497	20.223396
37	2	17.570789	20.268518
37	3	18.036894	21.267763
38	0	17.474110	21.205993
38	1	17.778309	20.227585
38	2	18.007791	20.271147
38	3	17.027003	21.219241
39	0	16.623048	20.861705
39	1	17.060468	20.240686
39	2	17.353784	20.295898
39	3	17.650979	21.269500
40	0	18.224975	21.201964
40	1	16.865272	20.223919
40	2	17.008469	20.284831
40	3	17.567628	21.277031
41	0	17.119911	21.189888
41	1	17.293092	20.231776
41	2	17.466297	20.291154
41	3	17.796533	21.278190
42	0	17.197543	21.146298
42	1	17.535689	20.232823
42	2	17.700168	20.279566
42	3	17.682540	21.181845
43	0	17.347618	21.206568
43	1	17.741972	20.237016
43	2	17.577114	20.276408
43	3	18.019005	21.197938
44	0	17.993275	21.190463
44	1	16.785192	20.173786
44	2	16.936567	20.302227
44	3	17.436670	21.281667
45	0	16.774381	21.192762
45	1	17.406367	20.229680
45	2	17.329533	20.283778
45	3	17.432779	21.259661
46	0	17.438227	21.152596
46	1	17.576324	20.232824
46	2	17.553419	20.300644
46	3	17.904205	21.287466
47	0	17.303433	21.197938
47	1	17.588986	20.230204
47	2	17.647391	20.241210
47	3	17.935444	21.288046
48	0	18.181712	21.185866
48	1	16.638625	20.221826
48	2	17.097056	20.298535
48	3	17.288117	21.081818
49	0	16.946487	21.201389
49	1	17.132676	20.195689
49	2	17.512497	20.287465
49	3	17.830245	21.080112
50	0	17.063449	21.199088
50	1	17.640219	20.237016
50	2	17.430445	20.293262
50	3	17.893134	21.098329
51	0	17.052275	21.210023
51	1	17.351472	20.228633
51	2	17.592551	20.286412
51	3	18.042309	21.091494
52	0	17.819264	21.182419
52	1	16.646780	20.164413
52	2	16.877660	20.286412
52	3	17.437837	21.090355
53	0	17.016619	21.177252
53	1	17.189975	20.229156
