core	gpu	HostToDevice	DeviceToHost
0	0	0.098366	0.097497
0	1	0.098315	0.097474
0	2	0.098395	0.107809
0	3	0.098515	0.106621
1	0	0.098266	0.097497
1	1	0.098321	0.097470
1	2	0.098378	0.107815
1	3	0.098518	0.106625
2	0	0.098264	0.097496
2	1	0.098324	0.097470
2	2	0.098375	0.107814
2	3	0.098526	0.106625
3	0	0.098263	0.097496
3	1	0.098318	0.097472
3	2	0.098386	0.107816
3	3	0.098520	0.106625
4	0	0.098273	0.097495
4	1	0.098334	0.097473
4	2	0.098387	0.107815
4	3	0.098523	0.106623
5	0	0.098278	0.097496
5	1	0.098329	0.097473
5	2	0.098394	0.107817
5	3	0.098529	0.106656
6	0	0.098280	0.097501
6	1	0.098328	0.097479
6	2	0.098389	0.107811
6	3	0.098524	0.106623
7	0	0.098280	0.097499
7	1	0.098330	0.097476
7	2	0.098389	0.107812
7	3	0.098517	0.106622
8	0	0.098279	0.097503
8	1	0.098325	0.097474
8	2	0.098396	0.107817
8	3	0.098529	0.106623
9	0	0.098282	0.097502
9	1	0.098332	0.097475
9	2	0.098397	0.107813
9	3	0.098528	0.106622
10	0	0.098282	0.097502
10	1	0.098328	0.097478
10	2	0.098409	0.107816
10	3	0.098520	0.106624
11	0	0.098284	0.097501
11	1	0.098333	0.097477
11	2	0.098394	0.107817
11	3	0.098531	0.106624
12	0	0.098279	0.097503
12	1	0.098337	0.097477
12	2	0.098391	0.107816
12	3	0.098538	0.106625
13	0	0.098285	0.097504
13	1	0.098341	0.097476
13	2	0.098398	0.107813
13	3	0.098543	0.106623
14	0	0.098290	0.097501
14	1	0.098338	0.097479
14	2	0.098398	0.107817
14	3	0.098534	0.106623
15	0	0.098283	0.097499
15	1	0.098339	0.097476
15	2	0.098398	0.107817
15	3	0.098521	0.106625
16	0	0.098299	0.097501
16	1	0.098344	0.097476
16	2	0.099875	0.106628
16	3	0.103474	0.106624
17	0	0.098317	0.097504
17	1	0.098326	0.097472
17	2	0.099890	0.106628
17	3	0.103479	0.106621
18	0	0.098291	0.097498
18	1	0.098346	0.097477
18	2	0.099869	0.106626
18	3	0.103471	0.106621
19	0	0.098316	0.097502
19	1	0.098330	0.097475
19	2	0.099887	0.106628
19	3	0.103478	0.106624
20	0	0.098307	0.097506
20	1	0.098346	0.097477
20	2	0.099879	0.106630
20	3	0.103470	0.106623
21	0	0.098322	0.097503
21	1	0.098334	0.097480
21	2	0.099892	0.106632
21	3	0.103448	0.106622
22	0	0.098306	0.097496
22	1	0.098353	0.097481
22	2	0.099882	0.106627
22	3	0.103464	0.106624
23	0	0.098325	0.097500
23	1	0.098322	0.097483
23	2	0.099894	0.106632
23	3	0.103483	0.106628
24	0	0.098287	0.097501
24	1	0.098346	0.097480
24	2	0.099857	0.106626
24	3	0.103447	0.106627
25	0	0.098310	0.097502
25	1	0.098306	0.097483
25	2	0.099877	0.106626
25	3	0.103456	0.106630
26	0	0.098292	0.097501
26	1	0.098340	0.097479
26	2	0.099894	0.106629
26	3	0.103442	0.106627
27	0	0.098267	0.097501
27	1	0.098332	0.097485
27	2	0.099877	0.106628
27	3	0.103476	0.106631
28	0	0.098325	0.097503
28	1	0.098334	0.097482
28	2	0.099893	0.106627
28	3	0.103470	0.106629
29	0	0.098304	0.097503
29	1	0.098351	0.097482
29	2	0.099871	0.106630
29	3	0.103462	0.106629
30	0	0.098322	0.097502
30	1	0.098334	0.097479
30	2	0.099896	0.106628
30	3	0.103482	0.106624
31	0	0.098304	0.097499
31	1	0.098341	0.097480
31	2	0.099891	0.106626
31	3	0.103466	0.106630
32	0	0.098313	0.097499
32	1	0.098327	0.097478
32	2	0.100963	0.106615
32	3	0.099538	0.106610
33	0	0.098324	0.097502
33	1	0.098345	0.097478
33	2	0.100969	0.106613
33	3	0.099511	0.106613
34	0	0.098292	0.097499
34	1	0.098344	0.097482
34	2	0.100937	0.106613
34	3	0.099531	0.106614
35	0	0.098295	0.097499
35	1	0.098361	0.097482
35	2	0.100944	0.106613
35	3	0.099526	0.106610
36	0	0.098308	0.097502
36	1	0.098333	0.097479
36	2	0.100954	0.106612
36	3	0.099529	0.106613
