core	gpu	HostToDevice	DeviceToHost
0	0	11.157478	9.964688
0	1	11.161840	10.635732
0	2	11.202892	11.273151
0	3	11.215943	11.219668
1	0	11.123326	9.962478
1	1	11.140459	10.628259
1	2	11.194992	11.279864
1	3	11.221300	11.224521
2	0	11.111888	9.962833
2	1	11.130586	10.603041
2	2	11.167418	11.253765
2	3	11.193722	11.234031
3	0	11.087778	9.957214
3	1	11.075578	10.620386
3	2	11.170412	11.255611
3	3	11.208215	11.212604
4	0	11.135039	9.981090
4	1	11.131739	10.637417
4	2	11.206941	11.280381
4	3	11.242776	11.224402
5	0	11.135961	9.989271
5	1	11.128938	10.603017
5	2	11.200370	11.274917
5	3	11.200040	11.236787
6	0	11.115002	9.968905
6	1	11.117383	10.600604
6	2	11.178005	11.267151
6	3	11.203271	11.205982
7	0	11.103169	9.954926
7	1	11.061212	10.587714
7	2	11.202668	11.278272
7	3	11.191209	11.232394
8	0	11.150480	9.973292
8	1	11.158635	10.641431
8	2	11.224754	11.286420
8	3	11.241490	11.240447
9	0	11.157621	9.960803
9	1	11.156783	10.634365
9	2	11.233582	11.294300
9	3	11.238940	11.234974
10	0	11.125926	9.933714
10	1	11.133158	10.617332
10	2	11.182945	11.257593
10	3	11.225144	11.227980
11	0	11.123305	9.929620
11	1	11.122943	10.599119
11	2	11.205085	11.296087
11	3	11.216099	11.256956
12	0	11.104039	9.925834
12	1	11.147401	10.639038
12	2	11.205507	11.286115
12	3	11.239732	11.235700
13	0	11.140111	9.953967
13	1	11.153968	10.633937
13	2	11.195293	11.275180
13	3	11.215968	11.249949
14	0	11.109820	9.942312
14	1	11.129600	10.625577
14	2	11.174405	11.262757
14	3	11.214800	11.226823
15	0	11.129235	9.964363
15	1	11.129168	10.609445
15	2	11.187323	11.262608
15	3	11.224184	11.232735
16	0	15.609224	11.666345
16	1	15.578275	12.598685
16	2	15.558327	14.266758
16	3	15.539351	14.197907
17	0	15.623458	11.662064
17	1	15.619950	12.610666
17	2	15.559387	14.284987
17	3	15.564922	14.201669
18	0	15.449359	11.579452
18	1	15.423534	12.516214
18	2	15.395073	14.158955
18	3	15.402405	14.101309
19	0	15.573175	11.743838
19	1	15.546174	12.564405
19	2	15.493115	14.217227
19	3	15.473350	14.151060
20	0	15.561515	11.773294
20	1	15.536730	12.590204
20	2	15.499130	14.259810
20	3	15.504746	14.180157
21	0	15.645138	11.710956
21	1	15.618574	12.608769
21	2	15.567190	14.281475
21	3	15.556474	14.214539
22	0	15.469296	11.591298
22	1	15.454470	12.528422
22	2	15.419503	14.167979
22	3	15.379306	14.112541
23	0	15.543141	11.622826
23	1	15.518077	12.850800
23	2	15.479967	14.156888
23	3	15.469543	14.137328
24	0	15.332062	11.554520
24	1	15.438437	12.821015
24	2	15.399691	14.230231
24	3	15.425805	14.132789
25	0	15.525964	11.594120
25	1	15.494792	12.416373
25	2	15.437130	14.193366
25	3	15.466990	14.153188
26	0	15.408182	11.688916
26	1	15.387830	12.487597
26	2	15.328766	14.109583
26	3	15.356132	14.056781
27	0	15.418322	11.727145
