core	gpu	HostToDevice	DeviceToHost
0	0	0.003516	0.003322
0	1	0.003219	0.003257
0	2	0.003284	0.003144
0	3	0.003006	0.003061
1	0	0.002426	0.003067
1	1	0.002434	0.003086
1	2	0.002431	0.003073
1	3	0.002440	0.003069
2	0	0.002415	0.003099
2	1	0.002444	0.003138
2	2	0.002432	0.003115
2	3	0.002431	0.003110
3	0	0.002431	0.003156
3	1	0.002449	0.003206
3	2	0.002434	0.003178
3	3	0.002464	0.003178
4	0	0.002512	0.003225
4	1	0.002539	0.003257
4	2	0.002512	0.003236
4	3	0.002527	0.003227
5	0	0.002535	0.003269
5	1	0.002547	0.003323
5	2	0.002501	0.003285
5	3	0.002521	0.003288
6	0	0.002534	0.003282
6	1	0.002582	0.003347
6	2	0.002579	0.003336
6	3	0.002536	0.003326
7	0	0.002571	0.003371
7	1	0.002607	0.003388
7	2	0.002586	0.003363
7	3	0.002581	0.003358
8	0	0.002586	0.003388
8	1	0.002587	0.003404
8	2	0.002596	0.003408
8	3	0.002591	0.003402
9	0	0.002642	0.003405
9	1	0.002628	0.003419
9	2	0.002631	0.003432
9	3	0.002633	0.003434
10	0	0.002626	0.003465
10	1	0.002704	0.003456
10	2	0.002645	0.003492
10	3	0.002657	0.003475
11	0	0.002685	0.003483
11	1	0.002699	0.003485
11	2	0.002646	0.003506
11	3	0.002675	0.003485
12	0	0.002669	0.003543
12	1	0.002678	0.003503
12	2	0.002682	0.003539
12	3	0.002646	0.003532
13	0	0.002694	0.003516
13	1	0.002712	0.003516
13	2	0.002716	0.003535
13	3	0.002688	0.003534
14	0	0.002707	0.003572
14	1	0.002692	0.003578
14	2	0.002690	0.003568
14	3	0.002744	0.003554
15	0	0.002764	0.003579
15	1	0.002746	0.003570
15	2	0.002767	0.003569
15	3	0.002702	0.003575
16	0	0.003232	0.003570
16	1	0.003226	0.003580
16	2	0.003172	0.003583
16	3	0.003205	0.003586
17	0	0.003275	0.003565
17	1	0.003244	0.003606
17	2	0.003231	0.003593
17	3	0.003142	0.003587
18	0	0.003212	0.003596
18	1	0.003262	0.003577
18	2	0.003183	0.003618
18	3	0.003155	0.003599
19	0	0.003289	0.003598
19	1	0.003230	0.003590
19	2	0.003266	0.003640
19	3	0.003141	0.003618
20	0	0.003271	0.003713
20	1	0.003216	0.003621
20	2	0.003211	0.003642
20	3	0.003211	0.003709
21	0	0.003270	0.003726
21	1	0.003210	0.003644
21	2	0.003178	0.003655
21	3	0.003178	0.003741
22	0	0.003198	0.003729
22	1	0.003282	0.003659
22	2	0.003196	0.003668
22	3	0.003144	0.004250
23	0	0.003266	0.003782
23	1	0.003257	0.003748
23	2	0.003259	0.003767
23	3	0.003154	0.004361
24	0	0.003379	0.003710
24	1	0.003257	0.003781
24	2	0.003223	0.003805
24	3	0.003182	0.004398
25	0	0.003225	0.003758
25	1	0.003281	0.003802
25	2	0.003269	0.003856
25	3	0.003213	0.004571
26	0	0.003246	0.003775
26	1	0.003253	0.003810
26	2	0.003255	0.003901
26	3	0.003147	0.004439
27	0	0.003280	0.003794
27	1	0.003213	0.003821
27	2	0.003245	0.003842
27	3	0.003244	0.004539
28	0	0.003255	0.003759
28	1	0.003226	0.003858
28	2	0.003204	0.003811
28	3	0.003180	0.004536
29	0	0.003281	0.003821
29	1	0.003255	0.003881
29	2	0.003230	0.003839
29	3	0.003234	0.004597
30	0	0.003333	0.003817
30	1	0.003217	0.003878
30	2	0.003223	0.003845
30	3	0.003246	0.004577
31	0	0.003236	0.003829
31	1	0.003224	0.003913
31	2	0.003215	0.003854
31	3	0.003157	0.004583
32	0	0.003171	0.003844
32	1	0.002992	0.003867
32	2	0.003032	0.003861
32	3	0.003005	0.004443
33	0	0.003064	0.003867
33	1	0.003035	0.003916
33	2	0.003141	0.003882
33	3	0.003072	0.004644
34	0	0.003095	0.003874
34	1	0.003063	0.003910
34	2	0.003096	0.003895
34	3	0.003049	0.004613
35	0	0.003189	0.003872
35	1	0.003080	0.003933
35	2	0.003070	0.003902
35	3	0.003054	0.004674
36	0	0.003150	0.003812
36	1	0.003126	0.003920
36	2	0.003124	0.003878
36	3	0.003088	0.004628
37	0	0.003176	0.003893
37	1	0.003153	0.003936
37	2	0.003079	0.003918
37	3	0.003050	0.004695
38	0	0.003196	0.003906
38	1	0.003149	0.003893
38	2	0.003038	0.003885
38	3	0.003078	0.004675
39	0	0.003159	0.003884
39	1	0.003057	0.003941
39	2	0.003051	0.003915
39	3	0.003105	0.004701
40	0	0.003020	0.003870
40	1	0.003198	0.003905
40	2	0.002999	0.003799
40	3	0.002959	0.004676
41	0	0.003128	0.003893
41	1	0.003138	0.003912
41	2	0.003058	0.003931
41	3	0.002996	0.004696
42	0	0.003149	0.003898
42	1	0.003082	0.003937
42	2	0.003037	0.003804
42	3	0.002934	0.004707
43	0	0.003141	0.003904
43	1	0.003040	0.003936
43	2	0.003084	0.003947
43	3	0.003006	0.004705
44	0	0.003199	0.003917
44	1	0.003105	0.003943
44	2	0.003060	0.003938
44	3	0.003023	0.004533
