core	gpu	HostToDevice	DeviceToHost
0	0	131.039308	56.774966
0	1	133.867109	81.077988
0	2	122.965809	81.582691
0	3	125.252905	81.678115
1	0	131.680528	82.163552
1	1	136.302651	81.053236
1	2	124.152716	81.970726
1	3	127.514897	82.008672
2	0	131.822808	82.153642
2	1	134.579690	80.798653
2	2	123.998135	81.682138
2	3	126.543404	81.808318
3	0	132.748923	82.169838
3	1	134.270612	80.978900
3	2	124.505544	81.649359
3	3	126.383084	81.847192
4	0	131.689708	82.032769
4	1	132.958576	81.031473
4	2	124.106830	81.829719
4	3	125.937541	81.994068
5	0	132.293134	82.131676
5	1	135.866742	81.223436
5	2	124.530256	81.790693
5	3	126.912403	81.931065
6	0	131.602610	82.180884
6	1	135.104220	81.099831
6	2	124.669867	81.658196
6	3	127.130187	81.726097
7	0	132.045630	82.221695
7	1	133.705417	81.155754
7	2	124.015433	81.747730
7	3	126.035671	81.889298
8	0	132.375532	82.410748
8	1	135.832374	81.367974
8	2	125.194632	81.837191
8	3	127.077863	82.020414
9	0	133.171584	82.286453
9	1	134.782215	81.197323
9	2	124.731307	81.931228
9	3	126.583446	82.128909
10	0	132.199373	82.207690
10	1	135.303091	81.024038
10	2	123.927366	81.700394
10	3	126.871355	81.896218
11	0	133.644709	82.309406
11	1	134.928210	81.258981
11	2	124.479022	81.799617
11	3	126.618941	81.959793
12	0	131.664240	82.253409
12	1	135.171472	81.192462
12	2	124.825344	81.812366
12	3	126.168010	81.877548
13	0	131.497523	82.401856
13	1	135.672681	81.346814
13	2	124.904995	81.931341
13	3	126.707228	82.071857
14	0	132.764166	82.192097
14	1	136.145255	80.987543
14	2	125.161639	81.693339
14	3	127.369251	81.719655
15	0	133.564135	82.244613
15	1	134.471449	81.031358
15	2	124.942305	81.826124
15	3	126.703996	81.908772
16	0	132.602751	81.773974
16	1	136.139503	80.628863
16	2	124.307164	81.212430
16	3	126.765583	81.606265
17	0	132.572372	81.709404
17	1	135.405001	80.678186
17	2	125.518925	81.302984
17	3	127.552676	81.593189
18	0	132.267578	81.487614
18	1	135.109733	80.293724
18	2	124.731567	80.942225
18	3	127.218768	81.245086
19	0	132.136509	81.527126
19	1	135.815506	80.159716
19	2	125.121178	81.130734
19	3	127.184021	81.306484
20	0	131.775289	81.924364
