core	gpu	HostToDevice	DeviceToHost
0	0	122.119197	112.625319
0	1	123.559957	116.852490
0	2	119.678987	115.749231
0	3	119.440839	114.420197
1	0	123.873292	114.640913
1	1	123.515213	117.514168
1	2	121.929720	114.346160
1	3	119.620987	111.830952
2	0	121.730912	113.618592
2	1	124.382543	119.202696
2	2	120.443790	112.818673
2	3	120.501388	110.736655
3	0	121.490445	113.324128
3	1	124.303508	121.267992
3	2	120.944317	112.644260
3	3	119.636483	110.800714
4	0	123.282612	118.416815
4	1	124.382305	112.786846
4	2	121.739333	111.552564
4	3	120.664050	115.140028
5	0	122.329222	118.710523
5	1	123.348382	110.990298
5	2	119.007978	111.100349
5	3	120.734257	115.125699
6	0	123.688067	118.862322
6	1	123.681545	111.410496
6	2	119.608619	109.874724
6	3	120.586052	115.075757
7	0	122.860193	117.496092
7	1	124.622196	110.151747
7	2	121.906784	109.994128
7	3	120.317997	110.464267
8	0	121.618307	108.440627
8	1	123.307762	109.814598
8	2	120.211153	117.643912
8	3	119.712925	117.529924
9	0	123.622921	109.518715
9	1	124.286005	109.724566
9	2	121.750680	117.557048
9	3	121.304543	117.556855
10	0	123.650762	108.673191
10	1	124.952883	109.822790
10	2	122.112827	108.878450
10	3	120.905446	108.118438
11	0	122.967470	107.994569
11	1	124.131414	107.414506
11	2	121.471134	107.287154
11	3	119.570085	105.141897
12	0	123.759000	107.119128
12	1	124.961036	107.498795
12	2	121.528354	104.923262
12	3	121.862261	106.570678
13	0	124.249364	107.939876
13	1	124.240498	107.207922
13	2	121.174356	104.884652
13	3	120.962281	106.086340
14	0	123.924172	106.443178
14	1	125.399134	106.511323
14	2	121.779440	103.940701
14	3	121.746547	106.219509
15	0	124.300823	106.685489
15	1	124.767216	106.381085
15	2	121.656693	103.371391
15	3	120.789584	105.795347
16	0	118.689299	89.363756
16	1	119.002057	87.489709
16	2	116.657613	85.385972
16	3	117.578790	113.674549
17	0	121.639663	90.965263
17	1	122.318172	89.474422
17	2	118.576392	85.722701
17	3	119.383893	115.743269
18	0	121.280461	90.217704
18	1	122.279615	90.811351
18	2	118.953832	85.970554
18	3	119.187670	115.396753
19	0	120.723871	89.537570
19	1	122.500911	90.188665
19	2	119.912464	85.804943
19	3	119.537933	115.203949
20	0	120.728030	90.189293
20	1	123.457246	89.958013
20	2	119.829006	85.400350
20	3	118.842891	92.094462
21	0	120.947765	89.295793
21	1	122.282618	89.453140
21	2	119.981057	86.243194
21	3	119.412573	90.798741
22	0	121.938343	89.647057
22	1	123.487213	89.606529
22	2	118.792539	85.530869
22	3	119.546450	91.758750
23	0	121.027024	89.141919
23	1	122.710219	89.995658
23	2	118.778289	85.539841
23	3	117.525552	91.833091
24	0	119.007041	88.862185
24	1	118.953120	90.236338
24	2	117.568466	84.926674
24	3	117.152743	91.617711
25	0	121.312074	90.208175
25	1	122.180038	90.793760
25	2	119.616665	85.288648
25	3	119.485905	91.526068
26	0	121.382759	90.143766
26	1	122.350313	89.122779
26	2	118.013793	85.896177
26	3	118.699491	92.322264
27	0	120.533106	89.775188
27	1	122.898579	90.548793
27	2	119.541121	85.473012
27	3	119.840335	91.371290
28	0	121.292314	88.322141
28	1	121.775567	89.283594
28	2	119.385820	85.738672
28	3	119.257342	92.607724
29	0	121.129523	89.849405
29	1	123.210719	90.855936
29	2	119.171586	85.584321
29	3	118.960686	90.310211
30	0	121.080764	90.445825
30	1	122.802422	88.871028
30	2	119.473680	85.254055
30	3	119.900823	91.429068
31	0	122.032627	90.169895
31	1	122.255400	89.501047
31	2	119.785719	85.333926
31	3	119.634779	90.786433
32	0	117.237001	85.439488
32	1	120.169711	83.869742
32	2	117.122581	72.726508
32	3	117.462486	83.936511
33	0	120.582378	84.669335
33	1	121.267859	84.426931
33	2	118.283238	72.377215
33	3	118.177913	84.152670
34	0	119.486360	84.985807
34	1	121.746327	84.593340
34	2	117.697615	72.777744
34	3	119.329258	83.744944
35	0	120.252417	85.660568
35	1	121.272301	85.490069
35	2	117.262283	72.680509
35	3	118.288661	83.944022
36	0	119.719528	85.222101
36	1	121.874565	84.786640
36	2	118.719135	72.735531
36	3	119.347551	84.707789
37	0	119.606684	85.618900
37	1	121.522541	86.039419
37	2	118.841758	72.970703
37	3	116.586357	84.695445
38	0	120.557842	83.970473
38	1	122.175174	85.692168
38	2	118.524497	73.121940
38	3	116.637388	84.004175
39	0	120.164135	84.664696
39	1	121.640783	85.355433
39	2	119.185046	72.388340
39	3	119.877911	84.131825
40	0	119.702233	86.180628
40	1	119.609085	86.689490
40	2	117.059229	72.856515
40	3	113.704448	84.233706
41	0	121.973921	84.679859
41	1	123.196960	84.151952
41	2	119.200979	72.247393
41	3	118.820726	83.200232
42	0	121.485352	84.949455
42	1	121.720328	85.508708
42	2	119.012305	72.564609
42	3	119.021342	84.336020
43	0	122.136714	85.761077
43	1	123.402913	84.910272
43	2	119.575005	72.613479
43	3	119.067339	84.688040
44	0	121.249740	84.744007
44	1	122.709079	85.719173
44	2	118.213550	72.293906
44	3	118.943261	83.758357
45	0	122.320417	85.073448
45	1	121.560495	85.428449
45	2	118.969631	72.762055
45	3	119.234964	83.901583
46	0	121.919736	86.223596
46	1	123.187813	86.466347
46	2	119.144879	73.443594
46	3	119.298051	84.578567
47	0	121.545474	84.640690
47	1	122.953360	85.633122
47	2	118.462392	72.778180
47	3	119.022401	84.450325
48	0	118.355526	85.182178
48	1	118.309572	84.960893
48	2	117.014897	74.864327
48	3	116.607183	88.002616
49	0	121.780784	85.733003
49	1	122.240219	85.709751
49	2	119.487041	74.442717
49	3	119.710184	87.943886
50	0	122.414554	85.714499
50	1	121.589770	85.713833
50	2	118.924598	74.644992
50	3	118.583367	88.094950
51	0	121.875947	86.469782
51	1	123.269755	86.563582
51	2	116.733774	74.245139
51	3	120.096618	87.921754
52	0	121.239718	83.987344
52	1	121.192735	85.697537
52	2	116.211231	74.738499
52	3	120.043072	87.745368
53	0	121.651725	87.002475
53	1	122.177806	86.714469
53	2	119.283610	74.128861
53	3	118.941340	88.164249
54	0	121.896423	85.557169
54	1	121.891295	85.906570
54	2	119.094858	74.050264
54	3	119.822150	87.865479
55	0	122.635074	86.526546
55	1	123.102750	85.800845
55	2	118.830796	73.614402
55	3	120.173345	87.871369
56	0	119.426592	85.614156
56	1	120.502253	86.427128
56	2	117.838709	74.401621
56	3	117.750906	88.262677
57	0	121.193459	86.174763
57	1	122.048765	87.132661
57	2	119.916546	74.101475
57	3	119.897743	87.851160
58	0	122.283391	86.842988
58	1	122.276730	86.527827
58	2	119.715424	74.646535
58	3	118.988520	88.200994
59	0	121.841198	86.758488
59	1	122.073765	86.186912
59	2	119.378259	73.934549
59	3	119.251266	88.351564
60	0	121.665747	86.001217
60	1	122.858384	86.755083
60	2	119.753078	74.673582
60	3	119.610960	88.692123
61	0	121.928470	87.127308
61	1	122.309882	86.021944
61	2	119.694052	74.584244
61	3	119.991304	88.355036
62	0	123.127926	86.764890
62	1	122.877792	87.360488
62	2	119.817786	74.575519
62	3	119.724255	88.816363
63	0	122.355230	86.024869
63	1	122.314277	86.702738
63	2	119.515389	74.909411
63	3	120.009458	88.234505
64	0	118.669600	111.768530
64	1	118.918793	111.967493
64	2	122.823815	114.651944
64	3	120.008382	107.414854
65	0	120.569933	111.428295
65	1	121.075387	109.920972
65	2	123.319095	113.460399
65	3	122.693887	107.182836
66	0	120.625600	109.261868
66	1	122.245237	108.239372
66	2	124.446867	111.645588
66	3	122.384096	104.730696
67	0	120.290556	107.366947
67	1	121.603419	106.864416
67	2	123.657921	111.223660
67	3	122.017141	104.024011
68	0	120.377806	106.150595
68	1	122.190350	104.241199
68	2	124.555359	110.496351
68	3	123.240504	100.811698
69	0	120.200894	103.591960
69	1	121.419264	103.500680
69	2	123.660079	110.090786
69	3	122.208849	101.155269
70	0	120.377830	101.072878
70	1	121.524894	101.435693
70	2	124.227572	109.088112
70	3	123.180427	99.184058
71	0	120.334646	102.083879
71	1	120.998865	101.805439
71	2	123.745878	107.800896
71	3	122.762311	99.235434
72	0	118.890422	101.084797
72	1	119.037740	100.012084
72	2	120.938077	107.166438
72	3	120.932827	98.930778
73	0	121.142332	99.979746
73	1	121.249371	98.339467
73	2	124.254272	106.268785
73	3	122.630781	96.780033
74	0	120.681462	98.179701
74	1	121.117086	97.264449
74	2	123.452373	105.811122
74	3	123.627408	94.796776
75	0	120.142795	96.198916
75	1	121.928460	96.101253
75	2	124.425914	104.741986
75	3	122.871457	93.291988
76	0	120.547841	95.946452
76	1	121.945204	95.422150
76	2	123.782532	104.671689
76	3	123.016824	93.631955
77	0	120.867421	95.219649
77	1	121.919387	95.169403
77	2	123.554705	104.272477
77	3	122.948437	93.346013
78	0	120.694408	95.008670
78	1	121.069198	94.381565
78	2	124.166977	104.769813
78	3	123.223729	90.369191
79	0	120.448307	94.481846
79	1	121.861126	92.036345
79	2	124.419574	102.927255
79	3	123.601756	91.566092
80	0	116.630584	65.770112
80	1	116.399372	65.807229
80	2	118.913571	80.173466
80	3	119.051549	64.816086
81	0	118.275615	65.319196
81	1	118.110301	65.730296
81	2	120.654807	80.774530
81	3	121.565343	63.796898
82	0	119.375376	65.682511
82	1	119.276779	65.688982
82	2	121.737256	79.636442
82	3	122.349207	65.122464
83	0	118.366440	65.487077
83	1	118.393020	65.778788
83	2	122.367139	79.990875
83	3	122.042228	64.204262
84	0	118.780293	65.546235
84	1	117.611268	65.951087
84	2	122.193569	80.675095
84	3	122.754201	65.624801
85	0	118.596906	65.901652
85	1	118.548215	65.132974
85	2	121.570156	80.529897
85	3	122.130603	65.140735
86	0	119.293621	65.485057
86	1	118.086444	65.915474
86	2	118.979977	80.609818
86	3	122.006785	64.693185
87	0	118.935283	65.640351
87	1	117.241825	66.094218
87	2	121.205704	80.470479
87	3	122.301093	64.544020
88	0	116.770145	65.593978
88	1	115.682013	66.094996
88	2	118.321639	80.341660
88	3	118.078356	65.441430
89	0	119.195644	65.623752
89	1	119.026313	65.999754
89	2	121.144278	79.993291
89	3	121.346782	65.244257
90	0	118.754992	65.869743
90	1	116.142362	65.866315
90	2	121.074634	80.064735
90	3	122.058718	65.359358
91	0	119.007526	65.715439
91	1	119.202086	65.687862
91	2	119.090203	80.790871
91	3	122.937653	65.216753
92	0	118.197576	65.520825
92	1	118.260134	66.038020
92	2	121.131619	80.281564
92	3	120.956766	64.891489
93	0	119.655803	65.835386
93	1	119.184937	65.881869
93	2	121.800852	80.549040
93	3	122.293824	65.658975
94	0	118.439524	65.975202
94	1	118.881868	65.886236
94	2	122.450436	81.262122
94	3	121.615551	65.013258
95	0	119.097345	65.885551
95	1	119.069731	66.046730
95	2	121.476672	80.653747
95	3	122.516634	64.892298
96	0	116.290881	71.837946
96	1	114.770995	72.573060
96	2	119.916680	88.357329
96	3	119.031653	71.460063
97	0	119.328284	71.727919
97	1	119.282152	73.008171
97	2	121.438584	88.337937
97	3	120.780032	71.245331
98	0	118.944308	71.296659
98	1	119.841435	71.905935
98	2	122.919973	89.148790
98	3	121.791725	70.715675
99	0	119.397750	72.561698
99	1	117.567152	72.780763
99	2	122.334082	89.288752
99	3	121.265587	70.886330
100	0	118.268489	72.112714
100	1	119.204221	72.760188
100	2	122.332072	89.273363
100	3	120.399096	71.286468
101	0	119.235489	72.360558
101	1	120.072969	72.842393
101	2	122.320932	89.424336
101	3	119.792271	70.817447
102	0	119.134976	71.718294
102	1	118.525207	72.190666
102	2	122.703645	88.338984
102	3	121.478563	70.724370
103	0	118.910617	71.947354
103	1	118.385174	72.520316
103	2	122.068903	88.831987
103	3	121.220479	71.143568
