core	gpu	HostToDevice	DeviceToHost
0	0	38.260434	38.580679
0	1	38.317091	38.563809
0	2	11.658674	11.883002
0	3	11.651559	11.879341
1	0	39.138754	38.847574
1	1	39.246665	38.857600
1	2	11.669789	11.859931
1	3	11.661412	11.882884
2	0	39.450326	39.148333
2	1	39.546972	39.172797
2	2	11.673393	11.891095
2	3	11.666703	11.888807
3	0	39.359168	39.032093
3	1	39.442312	39.054575
3	2	11.673571	11.891321
3	3	11.665733	11.887816
4	0	39.139700	38.788255
4	1	39.212141	38.743871
4	2	11.668680	11.886090
4	3	11.663274	11.881263
5	0	39.143614	38.779442
5	1	39.137306	38.753874
5	2	11.667855	11.883582
5	3	11.662793	11.882013
6	0	38.932318	38.543686
6	1	38.975470	38.672717
6	2	11.670578	11.865452
6	3	11.663830	11.875550
7	0	38.786035	38.608058
7	1	38.957109	38.595570
7	2	11.666634	11.887848
7	3	11.661633	11.884340
8	0	38.771175	38.566925
8	1	38.913038	38.568580
8	2	11.667281	11.868807
8	3	11.658364	11.884047
9	0	39.515240	39.119277
9	1	39.557300	39.151457
9	2	11.667719	11.888728
9	3	11.667899	11.886141
10	0	39.425996	39.067067
10	1	39.452062	39.094431
10	2	11.671760	11.886243
10	3	11.667176	11.885751
11	0	39.344990	38.955353
11	1	39.278585	38.887916
11	2	11.671728	11.868094
11	3	11.658904	11.885492
12	0	38.962743	38.507810
12	1	38.952166	38.552565
12	2	11.665945	11.883945
12	3	11.661149	11.881776
13	0	38.928253	38.576310
13	1	39.096311	38.427441
13	2	11.667576	11.885152
13	3	11.662446	11.883296
14	0	73.687341	34.602378
14	1	75.540540	34.578716
14	2	11.904103	11.909590
14	3	11.897214	11.907783
15	0	77.383440	34.900911
15	1	77.446414	34.879874
15	2	11.918511	11.894579
15	3	11.906703	11.909798
16	0	77.461358	35.198758
16	1	77.696006	35.103900
16	2	11.915350	11.910349
16	3	11.913174	11.896894
17	0	77.437007	34.874189
17	1	77.689284	34.840888
17	2	11.920146	11.914267
17	3	11.909051	11.908809
18	0	77.674984	35.168475
18	1	77.451729	35.158078
18	2	11.920619	11.917060
18	3	11.913547	11.916729
19	0	77.783955	34.581233
19	1	77.686133	34.613028
19	2	11.920750	11.912387
19	3	11.913938	11.912679
20	0	77.433860	34.493839
20	1	77.324133	34.450239
20	2	11.919363	11.910409
20	3	11.911076	11.909698
21	0	77.280919	34.631351
21	1	77.310370	34.617508
21	2	11.915870	11.909461
21	3	11.911361	11.911986
22	0	77.444123	34.896383
22	1	77.608526	34.882618
22	2	11.921214	11.915810
22	3	11.913416	11.913812
23	0	77.781435	35.162648
23	1	77.839495	35.118944
23	2	11.922334	11.913059
23	3	11.914894	11.912121
24	0	78.045929	35.089192
24	1	77.769688	35.064305
24	2	11.923705	11.916438
24	3	11.915412	11.913475
25	0	77.875288	35.106583
25	1	77.674124	35.123377
25	2	11.907923	11.912131
25	3	11.904691	11.909168
26	0	77.134447	34.537330
26	1	77.031238	34.532266
26	2	11.914701	11.905340
26	3	11.910765	11.909922
27	0	77.110489	34.504201
27	1	77.191431	34.578614
27	2	11.914235	11.906528
27	3	11.910082	11.909357
