core	gpu	HostToDevice	DeviceToHost
0	0	76.337303	77.274717
0	1	76.268757	79.427899
0	2	11.722397	11.858769
0	3	11.714150	11.851890
1	0	76.941875	79.855691
1	1	77.227177	80.068533
1	2	11.750399	11.828314
1	3	11.746542	11.825388
2	0	77.263057	80.005742
2	1	77.111676	79.413665
2	2	11.737147	11.803125
2	3	11.735935	11.822404
3	0	77.177290	80.216388
3	1	77.160748	79.717566
3	2	11.732447	11.796398
3	3	11.736241	11.795321
4	0	77.002340	79.963307
4	1	76.996406	79.471731
4	2	11.718442	11.787170
4	3	11.731229	11.790690
5	0	77.115196	79.984160
5	1	77.044771	79.271372
5	2	11.721989	11.781542
5	3	11.730663	11.781379
6	0	76.956615	79.832971
6	1	77.003790	77.521957
6	2	11.730277	11.780735
6	3	11.724553	11.786015
7	0	76.582694	79.351991
7	1	77.046237	78.945245
7	2	11.725783	11.764803
7	3	11.731928	11.762317
8	0	76.403941	79.758679
8	1	76.486596	78.888403
8	2	11.703639	11.771498
8	3	11.710286	11.773840
9	0	76.837339	79.268581
9	1	76.914300	79.191493
9	2	11.737314	11.762810
9	3	11.727355	11.761173
10	0	77.039885	79.656702
10	1	76.670053	79.004892
10	2	11.726241	11.753266
10	3	11.727131	11.754499
11	0	77.060695	79.467076
11	1	76.737708	78.928218
11	2	11.726826	11.725325
11	3	11.728987	11.755223
12	0	76.858216	79.486527
12	1	76.915446	79.210064
12	2	11.725880	11.744320
12	3	11.725241	11.750452
13	0	76.809786	79.742959
13	1	76.716544	79.384521
13	2	11.716110	11.747642
13	3	11.718620	11.757782
14	0	75.319872	68.773025
14	1	75.486308	69.253503
14	2	11.689357	11.854269
14	3	11.693712	11.849311
15	0	75.659296	69.375014
15	1	75.837373	69.274240
15	2	11.697422	11.862947
15	3	11.701404	11.863648
16	0	75.322342	69.535744
16	1	74.964626	69.316326
16	2	11.693129	11.864565
16	3	11.683594	11.867041
17	0	75.594886	69.135821
17	1	75.644027	69.047754
17	2	11.711419	11.867838
17	3	11.702395	11.863798
18	0	75.688444	68.507571
18	1	76.065204	69.478285
18	2	11.697470	11.865412
18	3	11.701633	11.862446
19	0	75.695775	68.985952
19	1	75.582889	69.039905
19	2	11.698948	11.859477
19	3	11.696987	11.859703
20	0	75.241731	68.491512
20	1	75.547065	68.493478
20	2	11.703620	11.859654
20	3	11.686429	11.861637
21	0	75.596650	69.012520
21	1	75.822614	69.092227
21	2	11.703543	11.865745
21	3	11.703160	11.865261
22	0	75.437324	69.244615
22	1	75.768535	69.015188
22	2	11.709396	11.866095
22	3	11.698480	11.864414
23	0	75.825292	69.100458
23	1	75.895293	69.247224
23	2	11.704603	11.864955
23	3	11.694610	11.867495
24	0	75.143042	69.618639
24	1	75.346646	69.588044
24	2	11.686921	11.862945
24	3	11.683288	11.859798
25	0	75.848465	69.384337
25	1	75.984494	68.921504
25	2	11.708643	11.865871
25	3	11.704814	11.863084
26	0	75.740243	69.167105
26	1	75.672435	68.864420
26	2	11.706369	11.861667
26	3	11.691029	11.860426
27	0	75.634626	68.451692
27	1	75.735086	68.927435
27	2	11.704192	11.853521
27	3	11.698595	11.860990
